Date,Product Name,Quantity
2022-07-09,Angel White Yeast - 100g,1
2022-07-11,Angel White Yeast - 100g,1
2022-07-12,Angel White Yeast - 100g,2
2022-07-14,Angel White Yeast - 100g,1
2022-07-20,Angel White Yeast - 100g,1
2022-07-22,Angel White Yeast - 100g,2
2022-07-27,Angel White Yeast - 100g,3
2022-08-04,Angel White Yeast - 100g,1
2022-08-05,Angel White Yeast - 100g,1
2022-08-06,Angel White Yeast - 100g,1
2022-08-08,Angel White Yeast - 100g,2
2022-08-09,Angel White Yeast - 100g,1
2022-08-11,Angel White Yeast - 100g,2
2022-08-22,Angel White Yeast - 100g,1
2022-08-26,Angel White Yeast - 100g,1
2022-08-29,Angel White Yeast - 100g,2
2022-09-05,Angel White Yeast - 100g,1
2022-09-06,Angel White Yeast - 100g,1
2022-09-07,Angel White Yeast - 100g,1
2022-09-18,Angel White Yeast - 100g,4
2022-09-19,Angel White Yeast - 100g,1
2022-09-20,Angel White Yeast - 100g,1
2022-09-21,Angel White Yeast - 100g,1
2022-09-23,Angel White Yeast - 100g,1
2022-09-28,Angel White Yeast - 100g,1
2022-10-03,Angel White Yeast - 100g,1
2022-10-04,Angel White Yeast - 100g,2
2022-10-05,Angel White Yeast - 100g,1
2022-10-08,Angel White Yeast - 100g,1
2022-10-09,Angel White Yeast - 100g,1
2022-10-11,Angel White Yeast - 100g,1
2022-10-18,Angel White Yeast - 100g,4
2022-10-20,Angel White Yeast - 100g,1
2022-10-21,Angel White Yeast - 100g,1
2022-10-22,Angel White Yeast - 100g,1
2022-10-23,Angel White Yeast - 100g,1
2022-10-24,Angel White Yeast - 100g,1
2022-11-03,Angel White Yeast - 100g,1
2022-11-07,Angel White Yeast - 100g,1
2022-11-16,Angel White Yeast - 100g,1
2022-11-17,Angel White Yeast - 100g,2
2022-11-19,Angel White Yeast - 100g,1
2022-11-20,Angel White Yeast - 100g,1
2022-11-28,Angel White Yeast - 100g,1
2022-12-03,Angel White Yeast - 100g,1
2022-12-23,Angel White Yeast - 100g,1
2023-01-05,Angel White Yeast - 100g,1
2023-01-06,Angel White Yeast - 100g,1
2023-01-10,Angel White Yeast - 100g,1
2023-01-15,Angel White Yeast - 100g,2
2023-01-20,Angel White Yeast - 100g,1
2023-01-21,Angel White Yeast - 100g,1
2023-01-25,Angel White Yeast - 100g,1
2023-01-30,Angel White Yeast - 100g,2
2023-01-31,Angel White Yeast - 100g,1
2023-02-02,Angel White Yeast - 100g,2
2023-02-03,Angel White Yeast - 100g,1
2023-02-06,Angel White Yeast - 100g,5
2023-02-07,Angel White Yeast - 100g,1
2023-02-08,Angel White Yeast - 100g,1
2023-02-09,Angel White Yeast - 100g,2
2023-02-10,Angel White Yeast - 100g,3
2023-02-15,Angel White Yeast - 100g,1
2023-02-16,Angel White Yeast - 100g,2
2023-02-17,Angel White Yeast - 100g,2
2023-02-19,Angel White Yeast - 100g,2
2023-02-23,Angel White Yeast - 100g,5
2023-02-24,Angel White Yeast - 100g,1
2023-02-26,Angel White Yeast - 100g,1
2023-02-28,Angel White Yeast - 100g,1
2023-03-01,Angel White Yeast - 100g,1
2023-03-03,Angel White Yeast - 100g,4
2023-03-06,Angel White Yeast - 100g,1
2023-03-09,Angel White Yeast - 100g,2
2023-03-13,Angel White Yeast - 100g,2
2023-03-15,Angel White Yeast - 100g,1
2023-03-18,Angel White Yeast - 100g,1
2023-03-20,Angel White Yeast - 100g,1
