Date,Product Name,Quantity
2022-09-25,Terra Delyssa Organic Extra Virgin Olive Oil - 500mL,1
2022-09-26,Terra Delyssa Organic Extra Virgin Olive Oil - 500mL,2
2022-09-27,Terra Delyssa Organic Extra Virgin Olive Oil - 500mL,1
2022-09-28,Terra Delyssa Organic Extra Virgin Olive Oil - 500mL,1
2022-09-30,Terra Delyssa Organic Extra Virgin Olive Oil - 500mL,1
2022-10-04,Terra Delyssa Organic Extra Virgin Olive Oil - 500mL,4
2022-10-07,Terra Delyssa Organic Extra Virgin Olive Oil - 500mL,1
2022-10-09,Terra Delyssa Organic Extra Virgin Olive Oil - 500mL,2
2022-10-11,Terra Delyssa Organic Extra Virgin Olive Oil - 500mL,1
2022-10-12,Terra Delyssa Organic Extra Virgin Olive Oil - 500mL,3
2022-10-13,Terra Delyssa Organic Extra Virgin Olive Oil - 500mL,1
2022-10-17,Terra Delyssa Organic Extra Virgin Olive Oil - 500mL,2
2022-10-18,Terra Delyssa Organic Extra Virgin Olive Oil - 500mL,1
2022-10-20,Terra Delyssa Organic Extra Virgin Olive Oil - 500mL,1
2022-10-21,Terra Delyssa Organic Extra Virgin Olive Oil - 500mL,2
2022-10-22,Terra Delyssa Organic Extra Virgin Olive Oil - 500mL,1
2022-10-23,Terra Delyssa Organic Extra Virgin Olive Oil - 500mL,2
2022-10-24,Terra Delyssa Organic Extra Virgin Olive Oil - 500mL,4
2022-10-25,Terra Delyssa Organic Extra Virgin Olive Oil - 500mL,2
2022-10-26,Terra Delyssa Organic Extra Virgin Olive Oil - 500mL,1
2022-10-27,Terra Delyssa Organic Extra Virgin Olive Oil - 500mL,1
2022-10-28,Terra Delyssa Organic Extra Virgin Olive Oil - 500mL,1
2022-10-29,Terra Delyssa Organic Extra Virgin Olive Oil - 500mL,2
2022-10-31,Terra Delyssa Organic Extra Virgin Olive Oil - 500mL,1
2022-11-02,Terra Delyssa Organic Extra Virgin Olive Oil - 500mL,1
2022-11-03,Terra Delyssa Organic Extra Virgin Olive Oil - 500mL,2
2022-11-07,Terra Delyssa Organic Extra Virgin Olive Oil - 500mL,1
2022-11-08,Terra Delyssa Organic Extra Virgin Olive Oil - 500mL,3
2022-11-10,Terra Delyssa Organic Extra Virgin Olive Oil - 500mL,3
2022-11-13,Terra Delyssa Organic Extra Virgin Olive Oil - 500mL,1
2022-11-14,Terra Delyssa Organic Extra Virgin Olive Oil - 500mL,1
2022-11-15,Terra Delyssa Organic Extra Virgin Olive Oil - 500mL,2
2022-11-16,Terra Delyssa Organic Extra Virgin Olive Oil - 500mL,1
2022-11-17,Terra Delyssa Organic Extra Virgin Olive Oil - 500mL,1
2022-11-19,Terra Delyssa Organic Extra Virgin Olive Oil - 500mL,1
2022-11-21,Terra Delyssa Organic Extra Virgin Olive Oil - 500mL,1
2022-11-22,Terra Delyssa Organic Extra Virgin Olive Oil - 500mL,1
2022-11-24,Terra Delyssa Organic Extra Virgin Olive Oil - 500mL,1
2022-11-25,Terra Delyssa Organic Extra Virgin Olive Oil - 500mL,2
2022-11-28,Terra Delyssa Organic Extra Virgin Olive Oil - 500mL,3
2022-11-30,Terra Delyssa Organic Extra Virgin Olive Oil - 500mL,1
2022-12-01,Terra Delyssa Organic Extra Virgin Olive Oil - 500mL,1
2022-12-02,Terra Delyssa Organic Extra Virgin Olive Oil - 500mL,1
2022-12-03,Terra Delyssa Organic Extra Virgin Olive Oil - 500mL,1
2022-12-05,Terra Delyssa Organic Extra Virgin Olive Oil - 500mL,2
2022-12-06,Terra Delyssa Organic Extra Virgin Olive Oil - 500mL,2
2022-12-08,Terra Delyssa Organic Extra Virgin Olive Oil - 500mL,3
2022-12-09,Terra Delyssa Organic Extra Virgin Olive Oil - 500mL,1
2022-12-10,Terra Delyssa Organic Extra Virgin Olive Oil - 500mL,2
2022-12-11,Terra Delyssa Organic Extra Virgin Olive Oil - 500mL,1
2022-12-12,Terra Delyssa Organic Extra Virgin Olive Oil - 500mL,2
2022-12-15,Terra Delyssa Organic Extra Virgin Olive Oil - 500ml,1
2022-12-16,Terra Delyssa Organic Extra Virgin Olive Oil - 500ml,1
2022-12-24,Terra Delyssa Organic Extra Virgin Olive Oil - 500ml,1
2022-12-28,Terra Delyssa Organic Extra Virgin Olive Oil - 500ml,2
2022-12-29,Terra Delyssa Organic Extra Virgin Olive Oil - 500ml,2
2022-12-30,Terra Delyssa Organic Extra Virgin Olive Oil - 500ml,1
2023-01-02,Terra Delyssa Organic Extra Virgin Olive Oil - 500ml,1
2023-01-03,Terra Delyssa Organic Extra Virgin Olive Oil - 500ml,2
2023-01-04,Terra Delyssa Organic Extra Virgin Olive Oil - 500ml,1
2023-01-07,Terra Delyssa Organic Extra Virgin Olive Oil - 500ml,1
2023-01-08,Terra Delyssa Organic Extra Virgin Olive Oil - 500ml,2
2023-01-09,Terra Delyssa Organic Extra Virgin Olive Oil - 500ml,2
2023-01-11,Terra Delyssa Organic Extra Virgin Olive Oil - 500ml,2
2023-01-13,Terra Delyssa Organic Extra Virgin Olive Oil - 500ml,3
2023-01-14,Terra Delyssa Organic Extra Virgin Olive Oil - 500ml,1
2023-01-16,Terra Delyssa Organic Extra Virgin Olive Oil - 500ml,2
2023-01-18,Terra Delyssa Organic Extra Virgin Olive Oil - 500ml,1
2023-01-19,Terra Delyssa Organic Extra Virgin Olive Oil - 500ml,2
2023-01-20,Terra Delyssa Organic Extra Virgin Olive Oil - 500ml,3
2023-01-22,Terra Delyssa Organic Extra Virgin Olive Oil - 500ml,1
2023-01-23,Terra Delyssa Organic Extra Virgin Olive Oil - 500ml,1
2023-01-24,Terra Delyssa Organic Extra Virgin Olive Oil - 500ml,1
2023-01-27,Terra Delyssa Organic Extra Virgin Olive Oil - 500ml,1
2023-01-29,Terra Delyssa Organic Extra Virgin Olive Oil - 500ml,3
2023-01-30,Terra Delyssa Organic Extra Virgin Olive Oil - 500ml,2
2023-01-31,Terra Delyssa Organic Extra Virgin Olive Oil - 500ml,2
2023-02-01,Terra Delyssa Organic Extra Virgin Olive Oil - 500ml,1
2023-02-02,Terra Delyssa Organic Extra Virgin Olive Oil - 500ml,1
