Date,Product Name,Quantity
2021-11-09,Shaolin Artisanal Shitakii Mushroom Steam-buns - (6 pieces),1
2021-11-10,Shaolin Artisanal Shitakii Mushroom Steam-buns - (6 pieces),2
2021-11-11,Shaolin Artisanal Shitakii Mushroom Steam-buns - (6 pieces),1
2021-11-12,Shaolin Artisanal Shitakii Mushroom Steam-buns - (6 pieces),1
2021-11-17,Shaolin Artisanal Shitakii Mushroom Steam-buns - (6 pieces),1
2021-11-18,Shaolin Artisanal Shitakii Mushroom Steam-buns - (6 pieces),1
2021-11-19,Shaolin Artisanal Shitakii Mushroom Steam-buns - (6 pieces),3
2021-11-23,Shaolin Artisanal Shitakii Mushroom Steam-buns - (6 pieces),1
2021-11-25,Shaolin Artisanal Shitakii Mushroom Steam-buns - (6 pieces),1
2021-11-26,Shaolin Artisanal Shitakii Mushroom Steam-buns - (6 pieces),1
2021-11-28,Shaolin Artisanal Shitakii Mushroom Steam-buns - (6 pieces),2
2021-12-02,Shaolin Artisanal Shitakii Mushroom Steam-buns - (6 pieces),1
2021-12-03,Shaolin Artisanal Shitakii Mushroom Steam-buns - (6 pieces),2
2021-12-06,Shaolin Artisanal Shitakii Mushroom Steam-buns - (6 pieces),1
2021-12-11,Shaolin Artisanal Shitakii Mushroom Steam-buns - (6 pieces),3
2021-12-17,Shaolin Artisanal Shitakii Mushroom Steam-buns - (6 pieces),4
2021-12-18,Shaolin Artisanal Shitakii Mushroom Steam-buns - (6 pieces),1
2021-12-20,Shaolin Artisanal Shitakii Mushroom Steam-buns - (6 pieces),1
2021-12-21,Shaolin Artisanal Shitakii Mushroom Steam-buns - (6 pieces),1
2021-12-22,Shaolin Artisanal Shitakii Mushroom Steam-buns - (6 pieces),2
2021-12-23,Shaolin Artisanal Shitakii Mushroom Steam-buns - (6 pieces),1
2021-12-24,Shaolin Artisanal Shitakii Mushroom Steam-buns - (6 pieces),2
2021-12-28,Shaolin Artisanal Shitakii Mushroom Steam-buns - (6 pieces),2
2021-12-29,Shaolin Artisanal Shitakii Mushroom Steam-buns - (6 pieces),1
2021-12-31,Shaolin Artisanal Shitakii Mushroom Steam-buns - (6 pieces),1
2022-01-03,Shaolin Artisanal Shitakii Mushroom Steam-buns - (6 pieces),2
2022-01-13,Shaolin Artisanal Shitakii Mushroom Steam-buns - (6 pieces),2
2022-01-14,Shaolin Artisanal Shitakii Mushroom Steam-buns - (6 pieces),2
2022-01-15,Shaolin Artisanal Shitakii Mushroom Steam-buns - (6 pieces),3
2022-01-17,Shaolin Artisanal Shitakii Mushroom Steam-buns - (6 pieces),3
2022-01-19,Shaolin Artisanal Shitakii Mushroom Steam-buns - (6 pieces),5
2022-01-20,Shaolin Artisanal Shitakii Mushroom Steam-buns - (6 pieces),2
2022-01-21,Shaolin Artisanal Shitakii Mushroom Steam-buns - (6 pieces),2
2022-01-24,Shaolin Artisanal Shitakii Mushroom Steam-buns - (6 pieces),4
2022-01-25,Shaolin Artisanal Shitakii Mushroom Steam-buns - (6 pieces),8
2022-01-26,Shaolin Artisanal Shitakii Mushroom Steam-buns - (6 pieces),2
2022-01-27,Shaolin Artisanal Shitakii Mushroom Steam-buns - (6 pieces),4
2022-01-28,Shaolin Artisanal Shitakii Mushroom Steam-buns - (6 pieces),2
2022-01-29,Shaolin Artisanal Shitakii Mushroom Steam-buns - (6 pieces),2
2022-01-31,Shaolin Artisanal Shitakii Mushroom Steam-buns - (6 pieces),2
2022-02-07,Shaolin Artisanal Shitakii Mushroom Steam-buns - (6 pieces),2
2022-02-11,Shaolin Artisanal Shitakii Mushroom Steam-buns - (6 pieces),4
2022-02-15,Shaolin Artisanal Shitakii Mushroom Steam-buns - (6 pieces),2
2022-02-16,Shaolin Artisanal Shitakii Mushroom Steam-buns - (6 pieces),2
2022-02-17,Shaolin Artisanal Shitakii Mushroom Steam-buns - (6 pieces),4
2022-02-23,Shaolin Artisanal Shitakii Mushroom Steam-buns - (6 pieces),4
2022-02-24,Shaolin Artisanal Shitakii Mushroom Steam-buns - (6 pieces),2
2022-02-25,Shaolin Artisanal Shitakii Mushroom Steam-buns - (6 pieces),6
2022-02-27,Shaolin Artisanal Shitakii Mushroom Steam-buns - (6 pieces),2
2022-03-03,Shaolin Artisanal Shitakii Mushroom Steam-buns - (6 pieces),1
2022-03-04,Shaolin Artisanal Shitakii Mushroom Steam-buns - (6 pieces),1
2022-03-08,Shaolin Artisanal Shitakii Mushroom Steam-buns - (6 pieces),1
2022-03-10,Shaolin Artisanal Shitakii Mushroom Steam-buns - (6 pieces),1
2022-03-13,Shaolin Artisanal Shitakii Mushroom Steam-buns - (6 pieces),1
2022-03-14,Shaolin Artisanal Shitakii Mushroom Steam-buns - (6 pieces),1
2022-03-18,Shaolin Artisanal Shitakii Mushroom Steam-buns - (6 pieces),1
2022-03-19,Shaolin Artisanal Shitakii Mushroom Steam-buns - (6 pieces),1
2022-03-21,Shaolin Artisanal Shitakii Mushroom Steam-buns - (6 pieces),1
