Date,Product Name,Quantity
2021-11-09,Shaolin Artisanal Pork &amp; Cabbage Dumplings - 25 Pieces,1
2021-11-11,Shaolin Artisanal Pork &amp; Cabbage Dumplings - 25 Pieces,1
2021-11-13,Shaolin Artisanal Pork &amp; Cabbage Dumplings - 25 Pieces,3
2021-11-15,Shaolin Artisanal Pork &amp; Cabbage Dumplings - 25 Pieces,2
2021-11-16,Shaolin Artisanal Pork &amp; Cabbage Dumplings - 25 Pieces,3
2021-11-17,Shaolin Artisanal Pork &amp; Cabbage Dumplings - 25 Pieces,2
2021-11-18,Shaolin Artisanal Pork &amp; Cabbage Dumplings - 25 Pieces,1
2021-11-19,Shaolin Artisanal Pork &amp; Cabbage Dumplings - 25 Pieces,3
2021-11-22,Shaolin Artisanal Pork &amp; Cabbage Dumplings - 25 Pieces,2
2021-11-24,Shaolin Artisanal Pork &amp; Cabbage Dumplings - 25 Pieces,1
2021-11-26,Shaolin Artisanal Pork &amp; Cabbage Dumplings - 25 Pieces,2
2021-11-27,Shaolin Artisanal Pork &amp; Cabbage Dumplings - 25 Pieces,1
2021-11-28,Shaolin Artisanal Pork &amp; Cabbage Dumplings - 25 Pieces,1
2021-11-29,Shaolin Artisanal Pork &amp; Cabbage Dumplings - 25 Pieces,1
2021-12-01,Shaolin Artisanal Pork &amp; Cabbage Dumplings - 25 Pieces,1
2021-12-03,Shaolin Artisanal Pork &amp; Cabbage Dumplings - 25 Pieces,2
2021-12-04,Shaolin Artisanal Pork &amp; Cabbage Dumplings - 25 Pieces,1
2021-12-05,Shaolin Artisanal Pork &amp; Cabbage Dumplings - 25 Pieces,1
2021-12-06,Shaolin Artisanal Pork &amp; Cabbage Dumplings - 25 Pieces,1
2021-12-07,Shaolin Artisanal Pork &amp; Cabbage Dumplings - 25 Pieces,3
2021-12-08,Shaolin Artisanal Pork &amp; Cabbage Dumplings - 25 Pieces,1
2021-12-11,Shaolin Artisanal Pork &amp; Cabbage Dumplings - 25 Pieces,1
2021-12-14,Shaolin Artisanal Pork &amp; Cabbage Dumplings - 25 Pieces,1
2021-12-15,Shaolin Artisanal Pork &amp; Cabbage Dumplings - 25 Pieces,1
2021-12-16,Shaolin Artisanal Pork &amp; Cabbage Dumplings - 25 Pieces,2
2021-12-17,Shaolin Artisanal Pork &amp; Cabbage Dumplings - 25 Pieces,3
2021-12-20,Shaolin Artisanal Pork &amp; Cabbage Dumplings - 25 Pieces,2
2021-12-21,Shaolin Artisanal Pork &amp; Cabbage Dumplings - 25 Pieces,1
2022-01-05,Shaolin Artisanal Pork & Cabbage Dumplings - 25 Pieces,1
2022-01-05,Shaolin Artisanal Pork &amp; Cabbage Dumplings - 25 Pieces,1
2022-01-06,Shaolin Artisanal Pork & Cabbage Dumplings - 25 Pieces,1
2022-01-06,Shaolin Artisanal Pork &amp; Cabbage Dumplings - 25 Pieces,1
2022-01-07,Shaolin Artisanal Pork & Cabbage Dumplings - 25 Pieces,1
2022-01-07,Shaolin Artisanal Pork &amp; Cabbage Dumplings - 25 Pieces,1
2022-01-10,Shaolin Artisanal Pork & Cabbage Dumplings - 25 Pieces,3
2022-01-10,Shaolin Artisanal Pork &amp; Cabbage Dumplings - 25 Pieces,3
2022-01-12,Shaolin Artisanal Pork & Cabbage Dumplings - 25 Pieces,1
