Date,Product Name,Quantity
2021-11-10,Shaolin Artisanal Shitakii Mushroom Dumplings - 25 Pieces,1
2021-11-13,Shaolin Artisanal Shitakii Mushroom Dumplings - 25 Pieces,1
2021-11-14,Shaolin Artisanal Shitakii Mushroom Dumplings - 25 Pieces,2
2021-11-15,Shaolin Artisanal Shitakii Mushroom Dumplings - 25 Pieces,3
2021-11-16,Shaolin Artisanal Shitakii Mushroom Dumplings - 25 Pieces,3
2021-11-18,Shaolin Artisanal Shitakii Mushroom Dumplings - 25 Pieces,2
2021-11-19,Shaolin Artisanal Shitakii Mushroom Dumplings - 25 Pieces,2
2021-11-21,Shaolin Artisanal Shitakii Mushroom Dumplings - 25 Pieces,1
2021-11-22,Shaolin Artisanal Shitakii Mushroom Dumplings - 25 Pieces,1
2021-11-23,Shaolin Artisanal Shitakii Mushroom Dumplings - 25 Pieces,1
2021-11-24,Shaolin Artisanal Shitakii Mushroom Dumplings - 25 Pieces,1
2021-11-26,Shaolin Artisanal Shitakii Mushroom Dumplings - 25 Pieces,1
2021-11-29,Shaolin Artisanal Shitakii Mushroom Dumplings - 25 Pieces,1
2021-11-30,Shaolin Artisanal Shitakii Mushroom Dumplings - 25 Pieces,1
2021-12-01,Shaolin Artisanal Shitakii Mushroom Dumplings - 25 Pieces,2
2021-12-03,Shaolin Artisanal Shitakii Mushroom Dumplings - 25 Pieces,1
2021-12-07,Shaolin Artisanal Shitakii Mushroom Dumplings - 25 Pieces,1
2021-12-09,Shaolin Artisanal Shitakii Mushroom Dumplings - 25 Pieces,2
2021-12-10,Shaolin Artisanal Shitakii Mushroom Dumplings - 25 Pieces,3
2021-12-11,Shaolin Artisanal Shitakii Mushroom Dumplings - 25 Pieces,2
2021-12-12,Shaolin Artisanal Shitakii Mushroom Dumplings - 25 Pieces,1
2021-12-13,Shaolin Artisanal Shitakii Mushroom Dumplings - 25 Pieces,1
2021-12-15,Shaolin Artisanal Shitakii Mushroom Dumplings - 25 Pieces,1
2021-12-17,Shaolin Artisanal Shitakii Mushroom Dumplings - 25 Pieces,1
2021-12-20,Shaolin Artisanal Shitakii Mushroom Dumplings - 25 Pieces,2
2021-12-21,Shaolin Artisanal Shitakii Mushroom Dumplings - 25 Pieces,1
2021-12-22,Shaolin Artisanal Shitakii Mushroom Dumplings - 25 Pieces,2
2021-12-23,Shaolin Artisanal Shitakii Mushroom Dumplings - 25 Pieces,4
2021-12-25,Shaolin Artisanal Shitakii Mushroom Dumplings - 25 Pieces,1
2022-01-11,Shaolin Artisanal Shitakii Mushroom Dumplings - 25 Pieces,2
2022-01-12,Shaolin Artisanal Shitakii Mushroom Dumplings - 25 Pieces,6
2022-01-14,Shaolin Artisanal Shitakii Mushroom Dumplings - 25 Pieces,6
2022-01-16,Shaolin Artisanal Shitakii Mushroom Dumplings - 25 Pieces,3
2022-01-17,Shaolin Artisanal Shitakii Mushroom Dumplings - 25 Pieces,3
2022-01-19,Shaolin Artisanal Shitakii Mushroom Dumplings - 25 Pieces,7
2022-01-20,Shaolin Artisanal Shitakii Mushroom Dumplings - 25 Pieces,2
2022-01-25,Shaolin Artisanal Shitakii Mushroom Dumplings - 25 Pieces,10
2022-01-26,Shaolin Artisanal Shitakii Mushroom Dumplings - 25 Pieces,4
2022-01-27,Shaolin Artisanal Shitakii Mushroom Dumplings - 25 Pieces,2
2022-01-28,Shaolin Artisanal Shitakii Mushroom Dumplings - 25 Pieces,4
2022-02-01,Shaolin Artisanal Shitakii Mushroom Dumplings - 25 Pieces,2
2022-02-02,Shaolin Artisanal Shitakii Mushroom Dumplings - 25 Pieces,6
2022-02-04,Shaolin Artisanal Shitakii Mushroom Dumplings - 25 Pieces,2
2022-02-15,Shaolin Artisanal Shitakii Mushroom Dumplings - 25 Pieces,8
2022-02-17,Shaolin Artisanal Shitakii Mushroom Dumplings - 25 Pieces,4
2022-02-19,Shaolin Artisanal Shitakii Mushroom Dumplings - 25 Pieces,2
2022-02-20,Shaolin Artisanal Shitakii Mushroom Dumplings - 25 Pieces,2
2022-02-21,Shaolin Artisanal Shitakii Mushroom Dumplings - 25 Pieces,4
2022-02-22,Shaolin Artisanal Shitakii Mushroom Dumplings - 25 Pieces,2
2022-02-23,Shaolin Artisanal Shitakii Mushroom Dumplings - 25 Pieces,8
2022-03-09,Shaolin Artisanal Shitakii Mushroom Dumplings - 25 Pieces,1
2022-03-10,Shaolin Artisanal Shitakii Mushroom Dumplings - 25 Pieces,4
2022-03-11,Shaolin Artisanal Shitakii Mushroom Dumplings - 25 Pieces,1
2022-03-13,Shaolin Artisanal Shitakii Mushroom Dumplings - 25 Pieces,1
2022-03-16,Shaolin Artisanal Shitakii Mushroom Dumplings - 25 Pieces,1
2022-03-18,Shaolin Artisanal Shitakii Mushroom Dumplings - 25 Pieces,1
2022-03-19,Shaolin Artisanal Shitakii Mushroom Dumplings - 25 Pieces,2
2022-03-21,Shaolin Artisanal Shitakii Mushroom Dumplings - 25 Pieces,1
2022-03-23,Shaolin Artisanal Shitakii Mushroom Dumplings - 25 Pieces,2
2022-03-24,Shaolin Artisanal Shitakii Mushroom Dumplings - 25 Pieces,1
2022-03-29,Shaolin Artisanal Shitakii Mushroom Dumplings - 25 Pieces,2
2022-03-31,Shaolin Artisanal Shitakii Mushroom Dumplings - 25 Pieces,1
2022-04-01,Shaolin Artisanal Shitakii Mushroom Dumplings - 25 Pieces,2
2022-04-08,Shaolin Artisanal Shitakii Mushroom Dumplings - 25 Pieces,1
