Date,Product Name,Quantity
2019-02-20,Digestif Peppermint Tea,2
2019-02-24,Digestif Peppermint Tea,1
2019-02-27,Digestif Peppermint Tea,1
2019-03-04,Digestif Peppermint Tea,1
2019-03-24,Digestif Peppermint Tea,1
2019-04-01,Digestif Peppermint Tea,1
2019-04-04,Digestif Peppermint Tea,1
2019-04-07,Digestif Peppermint Tea,1
2019-04-29,Digestif Peppermint Tea,1
2019-05-05,Digestif Peppermint Tea,1
2019-05-10,Digestif Peppermint Tea,1
2019-05-16,Digestif Peppermint Tea,1
2019-05-17,Digestif Peppermint Tea,1
2019-05-23,Digestif Peppermint Tea,2
2019-05-30,Digestif Peppermint Tea,1
2019-06-11,Digestif Peppermint Tea,1
2019-06-18,Digestif Peppermint Tea,1
2019-06-20,Digestif Peppermint Tea,1
2019-06-25,Digestif Peppermint Tea,1
2019-10-15,Digestif Peppermint Tea,1
2019-10-23,Digestif Peppermint Tea,1
2019-10-27,Digestif Peppermint Tea,2
2019-11-06,Digestif Peppermint Tea,1
2019-11-12,Digestif Peppermint Tea,1
2019-11-14,Digestif Peppermint Tea,1
2019-12-01,Digestif Peppermint Tea,1
2019-12-03,Digestif Peppermint Tea,2
2019-12-11,Digestif Peppermint Tea,10
2020-05-02,Digestif Peppermint Tea,3
2020-05-04,Digestif Peppermint Tea,2
2020-05-14,Digestif Peppermint Tea,1
2020-05-16,Digestif Peppermint Tea,1
2020-05-18,Digestif Peppermint Tea,1
2020-05-20,Digestif Peppermint Tea,1
2020-05-23,Digestif Peppermint Tea,1
2020-05-28,Digestif Peppermint Tea,2
2020-05-31,Digestif Peppermint Tea,3
2020-06-01,Digestif Peppermint Tea,2
2020-06-04,Digestif Peppermint Tea,1
2020-06-06,Digestif Peppermint Tea,1
2020-06-29,Digestif Peppermint Tea,1
2020-06-30,Digestif Peppermint Tea,2
2020-07-08,Digestif Peppermint Tea,1
2020-07-14,Digestif Peppermint Tea,1
2020-07-21,Digestif Peppermint Tea,2
2020-07-24,Digestif Peppermint Tea,1
2020-08-04,Digestif Peppermint Tea,1
2020-08-06,Digestif Peppermint Tea,1
2020-08-15,Digestif Peppermint Tea,1
2020-08-24,Digestif Peppermint Tea,2
2020-08-26,Digestif Peppermint Tea,1
2020-08-28,Digestif Peppermint Tea,2
2020-09-01,Digestif Peppermint Tea,2
2020-09-08,Digestif Peppermint Tea,1
2020-09-22,Digestif Peppermint Tea,1
2020-10-26,Digestif Peppermint Tea,1
2020-10-27,Digestif Peppermint Tea,4
2020-10-30,Digestif Peppermint Tea,1
2020-11-04,Digestif Peppermint Tea,1
2020-11-16,Digestif Peppermint Tea,2
2020-11-26,Digestif Peppermint Tea,1
2020-12-20,Digestif Peppermint Tea,1
2020-12-28,Digestif Peppermint Tea,3
2021-01-14,Digestif Peppermint Tea,1
2021-01-15,Digestif Peppermint Tea,2
2021-01-21,Digestif Peppermint Tea,1
2021-02-06,Digestif Peppermint Tea,1
2021-02-16,Digestif Peppermint Tea,2
2021-02-24,Digestif Peppermint Tea,1
2021-02-26,Digestif Peppermint Tea,1
2021-04-07,Digestif Peppermint Tea,1
2021-04-14,Digestif Peppermint Tea,1
2021-04-15,Digestif Peppermint Tea,2
2021-04-21,Digestif Peppermint Tea,2
2021-04-23,Digestif Peppermint Tea,1
2021-04-24,Digestif Peppermint Tea,1
2021-05-17,Digestif Peppermint Tea,1
2021-05-21,Digestif Peppermint Tea,1
2021-05-27,Digestif Peppermint Tea,1
