Date,Product Name,Quantity
2022-10-21,Norwegian Salmon Portion - 200g,5
2022-10-21,Sea Meatery Salmon Portion - 200g,1
2022-10-22,Norwegian Salmon Portion - 200g,7
2022-10-23,Norwegian Salmon Portion - 200g,13
2022-10-24,Norwegian Salmon Portion - 200g,24
2022-10-25,Norwegian Salmon Portion - 200g,9
2022-10-28,Norwegian Salmon Portion - 200g,1
2022-11-02,Norwegian Salmon Portion - 200g,14
2022-11-03,Norwegian Salmon Portion - 200g,3
2022-11-04,Norwegian Salmon Portion - 200g,15
2022-11-05,Norwegian Salmon Portion - 200g,9
2022-11-06,Norwegian Salmon Portion - 200g,1
2022-11-07,Norwegian Salmon Portion - 200g,8
2022-11-08,Norwegian Salmon Portion - 200g,10
2022-11-09,Norwegian Salmon Portion - 200g,4
2022-11-10,Norwegian Salmon Portion - 200g,7
2022-11-11,Norwegian Salmon Portion - 200g,13
2022-11-12,Norwegian Salmon Portion - 200g,5
2022-11-13,Norwegian Salmon Portion - 200g,2
2022-11-14,Norwegian Salmon Portion - 200g,1
2022-11-16,Norwegian Salmon Portion - 200g,7
2022-11-17,Norwegian Salmon Portion - 200g,5
2022-11-18,Norwegian Salmon Portion - 200g,7
2022-11-19,Norwegian Salmon Portion - 200g,1
2022-11-20,Norwegian Salmon Portion - 200g,3
2022-11-21,Norwegian Salmon Portion - 200g,10
2022-11-22,Norwegian Salmon Portion - 200g,7
2022-11-23,Norwegian Salmon Portion - 200g,3
2022-11-24,Norwegian Salmon Portion - 200g,7
2022-11-25,Norwegian Salmon Portion - 200g,6
2022-11-28,Norwegian Salmon Portion - 200g,4
2022-11-30,Norwegian Salmon Portion - 200g,4
2022-12-01,Norwegian Salmon Portion - 200g,7
2022-12-02,Norwegian Salmon Portion - 200g,6
2022-12-03,Norwegian Salmon Portion - 200g,1
2022-12-04,Norwegian Salmon Portion - 200g,4
2022-12-05,Norwegian Salmon Portion - 200g,5
2022-12-06,Norwegian Salmon Portion - 200g,3
2022-12-07,Norwegian Salmon Portion - 200g,4
2022-12-08,Norwegian Salmon Portion - 200g,4
2022-12-10,Norwegian Salmon Portion - 200g,1
2022-12-12,Norwegian Salmon Portion - 200g,1
2022-12-14,Norwegian Salmon Portion - 200g,3
2022-12-15,Norwegian Salmon Portion - 200g,3
2022-12-16,Norwegian Salmon Portion - 200g,2
2022-12-17,Norwegian Salmon Portion - 200g,4
2022-12-18,Norwegian Salmon Portion - 200g,5
2022-12-19,Norwegian Salmon Portion - 200g,4
2022-12-20,Norwegian Salmon Portion - 200g,12
2022-12-21,Norwegian Salmon Portion - 200g,5
2022-12-22,Norwegian Salmon Portion - 200g,7
2022-12-23,Norwegian Salmon Portion - 200g,9
2022-12-24,Norwegian Salmon Portion - 200g,1
2022-12-27,Norwegian Salmon Portion - 200g,3
2022-12-28,Norwegian Salmon Portion - 200g,2
2022-12-30,Norwegian Salmon Portion - 200g,9
2022-12-31,Norwegian Salmon Portion - 200g,3
2023-01-01,Norwegian Salmon Portion - 200g,4
2023-01-02,Norwegian Salmon Portion - 200g,11
2023-01-03,Norwegian Salmon Portion - 200g,8
2023-01-04,Norwegian Salmon Portion - 200g,10
2023-01-05,Norwegian Salmon Portion - 200g,8
2023-01-06,Norwegian Salmon Portion - 200g,6
2023-01-09,Norwegian Salmon Portion - 200g,1
2023-01-12,Norwegian Salmon Portion - 200g,3
2023-01-13,Norwegian Salmon Portion - 200g,4
2023-01-14,Norwegian Salmon Portion - 200g,7
2023-01-15,Norwegian Salmon Portion - 200g,9
2023-01-16,Norwegian Salmon Portion - 200g,28
2023-01-17,Norwegian Salmon Portion - 200g,8
2023-01-19,Norwegian Salmon Portion - 200g,6
2023-01-20,Norwegian Salmon Portion - 200g,5
2023-01-21,Norwegian Salmon Portion - 200g,3
2023-01-22,Norwegian Salmon Portion - 200g,2
2023-01-23,Norwegian Salmon Portion - 200g,5
2023-01-24,Norwegian Salmon Portion - 200g,13
2023-01-25,Norwegian Salmon Portion - 200g,9
2023-01-26,Norwegian Salmon Portion - 200g,8
2023-01-27,Norwegian Salmon Portion - 200g,6
2023-01-28,Norwegian Salmon Portion - 200g,10
2023-01-29,Norwegian Salmon Portion - 200g,6
2023-01-30,Norwegian Salmon Portion - 200g,8
2023-02-01,Norwegian Salmon Portion - 200g,9
2023-02-02,Norwegian Salmon Portion - 200g,4
2023-02-03,Norwegian Salmon Portion - 200g,6
2023-02-04,Norwegian Salmon Portion - 200g,2
2023-02-05,Norwegian Salmon Portion - 200g,3
2023-02-06,Norwegian Salmon Portion - 200g,9
2023-02-07,Norwegian Salmon Portion - 200g,5
2023-02-08,Norwegian Salmon Portion - 200g,7
2023-02-09,Norwegian Salmon Portion - 200g,5
2023-02-10,Norwegian Salmon Portion - 200g,2
2023-02-11,Norwegian Salmon Portion - 200g,4
2023-02-12,Norwegian Salmon Portion - 200g,4
2023-02-13,Norwegian Salmon Portion - 200g,6
2023-02-14,Norwegian Salmon Portion - 200g,14
2023-02-15,Norwegian Salmon Portion - 200g,2
2023-02-16,Norwegian Salmon Portion - 200g,3
2023-02-17,Norwegian Salmon Portion - 200g,9
2023-02-18,Norwegian Salmon Portion - 200g,4
2023-02-19,Norwegian Salmon Portion - 200g,11
2023-02-20,Norwegian Salmon Portion - 200g,10
2023-02-25,Norwegian Salmon Portion - 200g,1
2023-02-26,Norwegian Salmon Portion - 200g,4
2023-02-27,Norwegian Salmon Portion - 200g,7
2023-02-28,Norwegian Salmon Portion - 200g,2
2023-03-01,Norwegian Salmon Portion - 200g,3
2023-03-02,Norwegian Salmon Portion - 200g,8
2023-03-03,Norwegian Salmon Portion - 200g,4
2023-03-04,Norwegian Salmon Portion - 200g,3
2023-03-05,Norwegian Salmon Portion - 200g,8
2023-03-06,Norwegian Salmon Portion - 200g,12
2023-03-07,Norwegian Salmon Portion - 200g,6
2023-03-08,Norwegian Salmon Portion - 200g,1
2023-03-09,Norwegian Salmon Portion - 200g,2
2023-03-10,Norwegian Salmon Portion - 200g,4
2023-03-11,Norwegian Salmon Portion - 200g,2
2023-03-12,Norwegian Salmon Portion - 200g,6
2023-03-13,Norwegian Salmon Portion - 200g,10
2023-03-14,Norwegian Salmon Portion - 200g,3
2023-03-15,Norwegian Salmon Portion - 200g,5
2023-03-16,Norwegian Salmon Portion - 200g,7
2023-03-17,Norwegian Salmon Portion - 200g,4
2023-03-19,Norwegian Salmon Portion - 200g,2
2023-03-21,Norwegian Salmon Portion - 200g,2
2023-03-22,Norwegian Salmon Portion - 200g,9
2023-03-23,Norwegian Salmon Portion - 200g,4
2023-03-24,Norwegian Salmon Portion - 200g,5
2023-03-25,Norwegian Salmon Portion - 200g,6
2023-03-26,Norwegian Salmon Portion - 200g,8
2023-03-27,Norwegian Salmon Portion - 200g,9
2023-03-30,Norwegian Salmon Portion - 200g,3
2023-03-31,Norwegian Salmon Portion - 200g,5
2023-04-02,Norwegian Salmon Portion - 200g,6
2023-04-03,Norwegian Salmon Portion - 200g,11
2023-04-04,Norwegian Salmon Portion - 200g,10
2023-04-05,Norwegian Salmon Portion - 200g,4
2023-04-06,Norwegian Salmon Portion - 200g,19
2023-04-07,Norwegian Salmon Portion - 200g,11
2023-04-08,Norwegian Salmon Portion - 200g,3
2023-04-10,Norwegian Salmon Portion - 200g,6
2023-04-11,Norwegian Salmon Portion - 200g,13
2023-04-12,Norwegian Salmon Portion - 200g,6
2023-04-14,Norwegian Salmon Portion - 200g,2
2023-04-15,Norwegian Salmon Portion - 200g,13
2023-04-16,Norwegian Salmon Portion - 200g,3
2023-04-17,Norwegian Salmon Portion - 200g,12
2023-04-18,Norwegian Salmon Portion - 200g,6
2023-04-19,Norwegian Salmon Portion - 200g,12
2023-04-20,Norwegian Salmon Portion - 200g,4
2023-04-21,Norwegian Salmon Portion - 200g,5
2023-04-22,Norwegian Salmon Portion - 200g,3
2023-04-23,Norwegian Salmon Portion - 200g,6
2023-04-24,Norwegian Salmon Portion - 200g,11
2023-04-25,Norwegian Salmon Portion - 200g,10
2023-04-26,Norwegian Salmon Portion - 200g,2
2023-04-27,Norwegian Salmon Portion - 200g,5
2023-04-28,Norwegian Salmon Portion - 200g,13
2023-04-29,Norwegian Salmon Portion - 200g,7
2023-04-30,Norwegian Salmon Portion - 200g,3
2023-05-01,Norwegian Salmon Portion - 200g,4
2023-05-02,Norwegian Salmon Portion - 200g,4
2023-05-03,Norwegian Salmon Portion - 200g,4
2023-05-10,Norwegian Salmon Portion - 200g,2
2023-05-11,Norwegian Salmon Portion - 200g,3
