Date,Product Name,Quantity
2022-04-24,Smoked Salmon - 200g,1
2022-04-25,Smoked Salmon - 200g,3
2022-04-26,Smoked Salmon - 200g,1
2022-04-27,Smoked Salmon - 200g,1
2022-04-28,Smoked Salmon - 200g,1
2022-05-01,Smoked Salmon - 200g,1
2022-05-03,Smoked Salmon - 200g,2
2022-05-04,Smoked Salmon - 200g,1
2022-05-06,Smoked Salmon - 200g,3
2022-05-09,Smoked Salmon - 200g,2
2022-05-15,Smoked Salmon - 200g,2
2022-05-16,Smoked Salmon - 200g,2
2022-05-18,Smoked Salmon - 200g,1
2022-05-30,Smoked Salmon - 200g,2
2022-06-02,Smoked Salmon - 200g,2
2022-06-04,Smoked Salmon - 200g,2
2022-06-08,Smoked Salmon - 200g,1
2022-06-10,Smoked Salmon - 200g,1
2022-06-12,Smoked Salmon - 200g,1
2022-06-13,Smoked Salmon - 200g,1
2022-06-15,Smoked Salmon - 200g,1
2022-06-18,Smoked Salmon - 200g,3
2022-06-19,Smoked Salmon - 200g,4
2022-06-21,Smoked Salmon - 200g,3
2022-06-22,Smoked Salmon - 200g,1
2022-06-23,Smoked Salmon - 200g,1
2022-06-24,Smoked Salmon - 200g,1
2022-06-25,Smoked Salmon - 200g,2
2022-06-26,Smoked Salmon - 200g,2
2022-07-01,Smoked Salmon - 200g,2
2022-07-02,Smoked Salmon - 200g,1
2022-07-04,Smoked Salmon - 200g,2
2022-07-06,Smoked Salmon - 200g,2
2022-07-09,Smoked Salmon - 200g,3
2022-07-12,Smoked Salmon - 200g,1
2022-07-14,Smoked Salmon - 200g,1
2022-07-16,Smoked Salmon - 200g,1
2022-07-17,Smoked Salmon - 200g,1
2022-07-18,Smoked Salmon - 200g,2
2022-07-20,Smoked Salmon - 200g,1
2022-07-27,Smoked Salmon - 200g,2
2022-07-28,Smoked Salmon - 200g,1
2022-07-29,Smoked Salmon - 200g,2
2022-07-30,Smoked Salmon - 200g,1
2022-08-02,Smoked Salmon - 200g,3
2022-08-04,Smoked Salmon - 200g,2
2022-08-05,Smoked Salmon - 200g,4
2022-08-06,Smoked Salmon - 200g,3
2022-08-07,Smoked Salmon - 200g,1
2022-08-08,Smoked Salmon - 200g,1
2022-08-20,Smoked Salmon - 200g,1
2022-08-21,Smoked Salmon - 200g,1
2022-08-22,Smoked Salmon - 200g,3
2022-08-24,Smoked Salmon - 200g,3
2022-08-25,Smoked Salmon - 200g,1
2022-08-26,Smoked Salmon - 200g,1
2022-08-27,Smoked Salmon - 200g,1
2022-08-29,Smoked Salmon - 200g,1
2022-08-30,Smoked Salmon - 200g,2
2022-08-31,Smoked Salmon - 200g,2
2022-09-01,Smoked Salmon - 200g,1
2022-09-02,Smoked Salmon - 200g,2
2022-09-05,Smoked Salmon - 200g,3
2022-09-06,Smoked Salmon - 200g,3
2022-09-07,Smoked Salmon - 200g,4
2022-09-08,Smoked Salmon - 200g,1
2022-09-12,Smoked Salmon - 200g,1
2022-09-13,Smoked Salmon - 200g,1
2022-09-15,Smoked Salmon - 200g,2
2022-09-16,Smoked Salmon - 200g,4
2022-09-17,Smoked Salmon - 200g,1
2022-09-19,Smoked Salmon - 200g,2
2022-09-20,Smoked Salmon - 200g,2
2022-09-21,Smoked Salmon - 200g,2
2022-09-22,Smoked Salmon - 200g,3
2022-09-23,Smoked Salmon - 200g,3
2022-09-25,Smoked Salmon - 200g,1
2022-09-27,Smoked Salmon - 200g,1
2022-09-28,Smoked Salmon - 200g,3
2022-09-29,Smoked Salmon - 200g,1
2022-09-30,Smoked Salmon - 200g,1
2022-10-01,Smoked Salmon - 200g,1
2022-10-02,Smoked Salmon - 200g,4
2022-10-03,Smoked Salmon - 200g,2
2022-10-04,Smoked Salmon - 200g,1
2022-10-05,Smoked Salmon - 200g,1
2022-10-06,Smoked Salmon - 200g,1
2022-10-07,Smoked Salmon - 200g,1
2022-10-08,Smoked Salmon - 200g,1
2022-10-11,Smoked Salmon - 200g,4
2022-10-13,Smoked Salmon (Frozen) - 200g,3
2022-10-17,Smoked Salmon (Frozen) - 200g,3
2022-10-18,Smoked Salmon (Frozen) - 200g,2
2022-10-20,Smoked Salmon (Frozen) - 200g,2
2022-10-21,Smoked Salmon (Frozen) - 200g,1
2022-10-22,Smoked Salmon (Frozen) - 200g,1
2022-10-23,Smoked Salmon (Frozen) - 200g,3
2022-10-24,Smoked Salmon (Frozen) - 200g,1
2022-10-25,Smoked Salmon (Frozen) - 200g,1
2022-10-27,Smoked Salmon (Frozen) - 200g,4
2022-10-28,Oak Smoked Salmon (Frozen) - 200g,1
2022-10-29,Oak Smoked Salmon (Frozen) - 200g,3
2022-10-30,Oak Smoked Salmon (Frozen) - 200g,4
2022-11-01,Oak Smoked Salmon (Frozen) - 200g,2
2022-11-02,Oak Smoked Salmon (Frozen) - 200g,1
2022-11-03,Oak Smoked Salmon (Frozen) - 200g,1
2022-11-05,Oak Smoked Salmon (Frozen) - 200g,2
2022-11-08,Oak Smoked Salmon (Frozen) - 200g,3
2022-11-10,Oak Smoked Salmon (Frozen) - 200g,2
2022-11-11,Oak Smoked Salmon (Frozen) - 200g,2
2022-11-12,Oak Smoked Salmon (Frozen) - 200g,1
2022-11-14,Oak Smoked Salmon (Frozen) - 200g,2
2022-11-15,Oak Smoked Salmon (Frozen) - 200g,1
2022-11-18,Oak Smoked Salmon (Frozen) - 200g,2
2022-11-21,Oak Smoked Salmon (Frozen) - 200g,2
2022-11-22,Oak Smoked Salmon (Frozen) - 200g,5
2022-11-24,Oak Smoked Salmon (Frozen) - 200g,1
2022-11-25,Oak Smoked Salmon (Frozen) - 200g,2
2022-11-26,Oak Smoked Salmon (Frozen) - 200g,2
2022-11-28,Oak Smoked Salmon (Frozen) - 200g,2
2022-11-29,Oak Smoked Salmon (Frozen) - 200g,1
2022-11-30,Oak Smoked Salmon (Frozen) - 200g,2
2022-12-01,Oak Smoked Salmon (Frozen) - 200g,3
2022-12-05,Oak Smoked Salmon (Frozen) - 200g,3
2022-12-07,Oak Smoked Salmon (Frozen) - 200g,1
2022-12-08,Oak Smoked Salmon (Frozen) - 200g,6
2022-12-09,Oak Smoked Salmon (Frozen) - 200g,1
2022-12-14,Oak Smoked Salmon (Frozen) - 200g,1
2022-12-15,Oak Smoked Salmon (Frozen) - 200g,4
2022-12-16,Oak Smoked Salmon (Frozen) - 200g,1
2022-12-18,Oak Smoked Salmon (Frozen) - 200g,2
2022-12-19,Oak Smoked Salmon (Frozen) - 200g,5
2022-12-20,Oak Smoked Salmon (Frozen) - 200g,1
2022-12-21,Oak Smoked Salmon (Frozen) - 200g,7
2022-12-22,Oak Smoked Salmon (Frozen) - 200g,8
2022-12-23,Oak Smoked Salmon (Frozen) - 200g,12
2022-12-29,Oak Smoked Salmon (Frozen) - 200g,2
2022-12-30,Oak Smoked Salmon (Frozen) - 200g,3
2022-12-31,Oak Smoked Salmon (Frozen) - 200g,1
2023-01-02,Oak Smoked Salmon (Frozen) - 200g,1
2023-01-03,Oak Smoked Salmon (Frozen) - 200g,3
2023-01-04,Oak Smoked Salmon (Frozen) - 200g,3
2023-01-05,Oak Smoked Salmon (Frozen) - 200g,2
2023-01-08,Oak Smoked Salmon (Frozen) - 200g,2
2023-01-09,Oak Smoked Salmon (Frozen) - 200g,4
2023-01-10,Oak Smoked Salmon (Frozen) - 200g,1
2023-01-11,Oak Smoked Salmon (Frozen) - 200g,3
2023-01-14,Oak Smoked Salmon (Frozen) - 200g,1
2023-01-15,Oak Smoked Salmon (Frozen) - 200g,1
2023-01-17,Oak Smoked Salmon (Frozen) - 200g,2
2023-01-18,Oak Smoked Salmon (Frozen) - 200g,1
2023-01-19,Oak Smoked Salmon (Frozen) - 200g,2
2023-01-20,Oak Smoked Salmon (Frozen) - 200g,2
2023-01-24,Oak Smoked Salmon (Frozen) - 200g,2
2023-01-25,Oak Smoked Salmon (Frozen) - 200g,2
2023-01-26,Oak Smoked Salmon (Frozen) - 200g,1
2023-01-27,Oak Smoked Salmon (Frozen) - 200g,2
2023-01-30,Oak Smoked Salmon (Frozen) - 200g,2
2023-01-31,Oak Smoked Salmon (Frozen) - 200g,3
2023-02-01,Oak Smoked Salmon (Frozen) - 200g,2
2023-02-03,Oak Smoked Salmon (Frozen) - 200g,1
2023-02-04,Oak Smoked Salmon (Frozen) - 200g,1
2023-02-05,Oak Smoked Salmon (Frozen) - 200g,1
2023-02-06,Oak Smoked Salmon (Frozen) - 200g,2
2023-02-07,Oak Smoked Salmon (Frozen) - 200g,1
2023-02-09,Oak Smoked Salmon (Frozen) - 200g,4
2023-02-10,Oak Smoked Salmon (Frozen) - 200g,1
2023-02-11,Oak Smoked Salmon (Frozen) - 200g,1
2023-02-12,Oak Smoked Salmon (Frozen) - 200g,1
2023-02-15,Oak Smoked Salmon (Frozen) - 200g,3
2023-02-16,Oak Smoked Salmon (Frozen) - 200g,1
2023-02-20,Oak Smoked Salmon (Frozen) - 200g,2
2023-02-22,Oak Smoked Salmon (Frozen) - 200g,9
2023-02-23,Oak Smoked Salmon (Frozen) - 200g,3
2023-02-24,Oak Smoked Salmon (Frozen) - 200g,5
2023-02-27,Oak Smoked Salmon (Frozen) - 200g,1
2023-03-01,Oak Smoked Salmon (Frozen) - 200g,1
2023-03-03,Oak Smoked Salmon (Frozen) - 200g,3
2023-03-05,Oak Smoked Salmon (Frozen) - 200g,1
2023-03-06,Oak Smoked Salmon (Frozen) - 200g,1
2023-03-10,Oak Smoked Salmon (Frozen) - 200g,1
2023-03-12,Oak Smoked Salmon (Frozen) - 200g,1
2023-03-13,Oak Smoked Salmon (Frozen) - 200g,3
2023-03-15,Oak Smoked Salmon (Frozen) - 200g,7
2023-03-16,Oak Smoked Salmon (Frozen) - 200g,3
2023-03-20,Oak Smoked Salmon (Frozen) - 200g,2
2023-03-22,Oak Smoked Salmon (Frozen) - 200g,1
2023-03-23,Oak Smoked Salmon (Frozen) - 200g,2
2023-03-24,Oak Smoked Salmon (Frozen) - 200g,1
2023-03-25,Oak Smoked Salmon (Frozen) - 200g,4
2023-03-26,Oak Smoked Salmon (Frozen) - 200g,1
2023-03-28,Oak Smoked Salmon (Frozen) - 200g,3
2023-03-29,Oak Smoked Salmon (Frozen) - 200g,2
2023-03-30,Oak Smoked Salmon (Frozen) - 200g,4
2023-03-31,Oak Smoked Salmon (Frozen) - 200g,3
2023-04-01,Oak Smoked Salmon (Frozen) - 200g,2
2023-04-03,Oak Smoked Salmon (Frozen) - 200g,6
2023-04-04,Oak Smoked Salmon (Frozen) - 200g,2
2023-04-05,Oak Smoked Salmon (Frozen) - 200g,5
2023-04-06,Oak Smoked Salmon (Frozen) - 200g,4
2023-04-07,Oak Smoked Salmon (Frozen) - 200g,4
2023-04-08,Oak Smoked Salmon (Frozen) - 200g,1
2023-04-09,Oak Smoked Salmon (Frozen) - 200g,1
2023-04-11,Oak Smoked Salmon (Frozen) - 200g,3
2023-04-12,Oak Smoked Salmon (Frozen) - 200g,2
