Date,Product Name,Quantity
2019-01-30,Smoked Salmon - 200g,1
2019-02-02,Smoked Salmon - 200g,2
2019-02-17,Smoked Salmon - 200g,1
2019-02-18,Smoked Salmon - 200g,1
2019-02-20,Smoked Salmon - 200g,1
2019-02-25,Smoked Salmon - 200g,3
2019-02-26,Smoked Salmon - 200g,2
2019-02-27,Smoked Salmon - 200g,1
2019-03-12,Smoked Salmon - 200g,1
2019-03-14,Smoked Salmon - 200g,1
2019-05-02,Smoked Salmon - 200g,1
2019-05-06,Smoked Salmon - 200g,1
2019-05-07,Smoked Salmon - 200g,1
2019-05-08,Smoked Salmon - 200g,2
2019-05-10,Smoked Salmon - 200g,2
2019-05-13,Smoked Salmon - 200g,3
2019-05-15,Smoked Salmon - 200g,1
2019-05-17,Smoked Salmon - 200g,1
2019-05-19,Smoked Salmon - 200g,2
2019-05-20,Smoked Salmon - 200g,1
2019-05-22,Smoked Salmon - 200g,4
2019-06-06,Smoked Salmon - 200g,1
2019-06-09,Smoked Salmon - 200g,1
2019-06-17,Smoked Salmon - 200g,1
2019-06-24,Smoked Salmon - 200g,1
2019-06-25,Smoked Salmon - 200g,1
2019-06-26,Smoked Salmon - 200g,1
2019-06-28,Smoked Salmon - 200g,1
2019-06-30,Smoked Salmon - 200g,2
2019-07-02,Smoked Salmon - 200g,4
2019-07-03,Smoked Salmon - 200g,2
2019-07-04,Smoked Salmon - 200g,1
2019-07-18,Smoked Salmon - 200g,2
2019-07-25,Smoked Salmon - 200g,4
2019-08-05,Smoked Salmon - 200g,1
2019-08-11,Smoked Salmon - 200g,3
2019-08-20,Smoked Salmon - 200g,1
2019-08-21,Smoked Salmon - 200g,3
2019-08-28,Smoked Salmon - 200g,3
2019-08-29,Smoked Salmon - 200g,1
2019-09-04,Smoked Salmon - 200g,1
2019-09-05,Smoked Salmon - 200g,2
2019-09-12,Smoked Salmon - 200g,2
2019-09-14,Smoked Salmon - 200g,1
2019-09-16,Smoked Salmon - 200g,2
2019-09-19,Smoked Salmon - 200g,1
2019-09-23,Smoked Salmon - 200g,2
2019-09-25,Smoked Salmon - 200g,5
2019-10-13,Smoked Salmon - 200g,1
2019-10-16,Smoked Salmon - 200g,1
2019-10-19,Smoked Salmon - 200g,1
2019-10-20,Smoked Salmon - 200g,1
2019-10-22,Smoked Salmon - 200g,2
2019-10-23,Smoked Salmon - 200g,2
2019-10-24,Smoked Salmon - 200g,1
2019-10-25,Smoked Salmon - 200g,1
2019-11-07,Smoked Salmon - 200g,1
2019-11-10,Smoked Salmon - 200g,1
2019-11-12,Smoked Salmon - 200g,1
2019-11-13,Smoked Salmon - 200g,1
2019-11-14,Smoked Salmon - 200g,1
2019-11-15,Smoked Salmon - 200g,1
2019-11-27,Smoked Salmon - 200g,1
2019-11-28,Smoked Salmon - 200g,2
2019-12-02,Smoked Salmon - 200g,1
2019-12-06,Smoked Salmon - 200g,1
2019-12-10,Smoked Salmon - 200g,2
2019-12-11,Smoked Salmon - 200g,3
2019-12-12,Smoked Salmon - 200g,3
2019-12-13,Smoked Salmon - 200g,3
2019-12-14,Smoked Salmon - 200g,1
2019-12-15,Smoked Salmon - 200g,1
2019-12-16,Smoked Salmon - 200g,1
2020-02-26,Smoked Salmon - 200g,2
2020-03-02,Smoked Salmon - 200g,1
2020-03-16,Smoked Salmon - 200g,7
2020-03-18,Smoked Salmon - 200g,2
2020-03-19,Smoked Salmon - 200g,2
2020-03-21,Smoked Salmon - 200g,2
2020-03-23,Smoked Salmon - 200g,5
2020-03-25,Smoked Salmon - 200g,8
2020-03-26,Smoked Salmon - 200g,1
2020-03-27,Smoked Salmon - 200g,3
2020-03-31,Smoked Salmon - 200g,2
2020-04-09,Smoked Salmon - 200g,9
2020-04-14,Smoked Salmon - 200g,7
2020-04-15,Smoked Salmon - 200g,3
2020-04-16,Smoked Salmon - 200g,4
2020-04-17,Smoked Salmon - 200g,1
2020-04-18,Smoked Salmon - 200g,1
2020-04-20,Smoked Salmon - 200g,5
2020-04-23,Smoked Salmon - 200g,2
2020-04-25,Smoked Salmon - 200g,2
2020-04-27,Smoked Salmon - 200g,3
2020-04-28,Smoked Salmon - 200g,2
2020-04-30,Smoked Salmon - 200g,3
2020-05-02,Smoked Salmon - 200g,6
2020-05-03,Smoked Salmon - 200g,1
2020-05-04,Smoked Salmon - 200g,1
2020-05-05,Smoked Salmon - 200g,3
2020-05-08,Smoked Salmon - 200g,4
2020-05-14,Smoked Salmon - 200g,5
2020-05-16,Smoked Salmon - 200g,1
2020-05-18,Smoked Salmon - 200g,2
2020-05-19,Smoked Salmon - 200g,1
2020-05-20,Smoked Salmon - 200g,1
2020-05-21,Smoked Salmon - 200g,3
2020-05-23,Smoked Salmon - 200g,2
2020-05-27,Smoked Salmon - 200g,5
2020-05-28,Smoked Salmon - 200g,4
2020-05-29,Smoked Salmon - 200g,1
2020-05-30,Smoked Salmon - 200g,1
2020-05-31,Smoked Salmon - 200g,4
2020-06-02,Smoked Salmon - 200g,2
2020-06-03,Smoked Salmon - 200g,1
2020-06-10,Smoked Salmon - 200g,1
2020-06-11,Smoked Salmon - 200g,5
2020-06-13,Smoked Salmon - 200g,2
2020-06-17,Smoked Salmon - 200g,2
2020-06-18,Smoked Salmon - 200g,4
2020-06-19,Smoked Salmon - 200g,3
2020-06-22,Smoked Salmon - 200g,5
2020-06-23,Smoked Salmon - 200g,2
2020-06-25,Smoked Salmon - 200g,1
2020-06-26,Smoked Salmon - 200g,2
2020-06-29,Smoked Salmon - 200g,1
2020-06-30,Smoked Salmon - 200g,1
2020-07-03,Smoked Salmon - 200g,1
2020-07-06,Smoked Salmon - 200g,1
2020-07-07,Smoked Salmon - 200g,1
2020-07-08,Smoked Salmon - 200g,2
2020-07-10,Smoked Salmon - 200g,2
2020-07-11,Smoked Salmon - 200g,2
2020-07-13,Smoked Salmon - 200g,2
2020-07-14,Smoked Salmon - 200g,1
2020-07-16,Smoked Salmon - 200g,1
2020-07-17,Smoked Salmon - 200g,1
2020-07-21,Smoked Salmon - 200g,14
2020-07-22,Smoked Salmon - 200g,1
2020-07-23,Smoked Salmon - 200g,1
2020-07-25,Smoked Salmon - 200g,1
2020-07-28,Smoked Salmon - 200g,1
2020-07-29,Smoked Salmon - 200g,1
