Date,Product Name,Quantity
2022-03-19,"Boutinot ‘Les Cerisiers’, Côtes du Rhône Rosé 2019",1
2022-03-29,"Boutinot ‘Les Cerisiers’, Côtes du Rhône Rosé 2019",2
2022-04-08,"Boutinot ‘Les Cerisiers’, Côtes du Rhône Rosé 2019",1
2022-04-19,"Boutinot ‘Les Cerisiers’, Côtes du Rhône Rosé, 2020",1
2022-04-27,"Boutinot ‘Les Cerisiers’, Côtes du Rhône Rosé, 2020",5
2022-05-02,"Boutinot ‘Les Cerisiers’, Côtes du Rhône Rosé, 2020",1
2022-05-04,"Boutinot ‘Les Cerisiers’, Côtes du Rhône Rosé, 2020",1
2022-05-05,"Boutinot ‘Les Cerisiers’, Côtes du Rhône Rosé, 2020",1
2022-05-08,"Boutinot ‘Les Cerisiers’, Côtes du Rhône Rosé, 2020",1
2022-05-09,"Boutinot ‘Les Cerisiers’, Côtes du Rhône Rosé, 2020",1
2022-05-10,"Boutinot ‘Les Cerisiers’, Côtes du Rhône Rosé, 2020",1
2022-05-17,"Boutinot ‘Les Cerisiers’, Côtes du Rhône Rosé, 2020",2
2022-05-19,"Boutinot ‘Les Cerisiers’, Côtes du Rhône Rosé, 2020",1
2022-05-24,"Boutinot ‘Les Cerisiers’, Côtes du Rhône Rosé, 2020",2
2022-05-25,"Boutinot ‘Les Cerisiers’, Côtes du Rhône Rosé, 2020",1
2022-05-27,"Boutinot ‘Les Cerisiers’, Côtes du Rhône Rosé, 2020",1
2022-05-30,"Boutinot ‘Les Cerisiers’, Côtes du Rhône Rosé, 2020",1
2022-05-31,"Boutinot ‘Les Cerisiers’, Côtes du Rhône Rosé, 2020",2
2022-06-02,"Boutinot ‘Les Cerisiers’, Côtes du Rhône Rosé, 2020",1
2022-06-03,"Boutinot ‘Les Cerisiers’, Côtes du Rhône Rosé, 2020",2
2022-06-08,"Boutinot ‘Les Cerisiers’, Côtes du Rhône Rosé, 2020",1
2022-06-09,"Boutinot ‘Les Cerisiers’, Côtes du Rhône Rosé, 2020",1
2022-06-10,"Boutinot ‘Les Cerisiers’, Côtes du Rhône Rosé, 2020",8
2022-06-12,"Boutinot ‘Les Cerisiers’, Côtes du Rhône Rosé, 2020",1
2022-06-13,"Boutinot ‘Les Cerisiers’, Côtes du Rhône Rosé, 2020",1
2022-06-15,"Boutinot ‘Les Cerisiers’, Côtes du Rhône Rosé, 2020",2
2022-06-21,"Boutinot ‘Les Cerisiers’, Côtes du Rhône Rosé, 2020",1
2022-06-27,"Boutinot ‘Les Cerisiers’, Côtes du Rhône Rosé, 2020",1
2022-06-28,"Boutinot ‘Les Cerisiers’, Côtes du Rhône Rosé, 2020",4
2022-07-10,"Boutinot ‘Les Cerisiers’, Côtes du Rhône Rosé, 2020",1
2022-07-15,"Boutinot ‘Les Cerisiers’, Côtes du Rhône Rosé, 2020",1
2022-07-25,"Boutinot ‘Les Cerisiers’, Côtes du Rhône Rosé, 2020",1
2022-08-03,"Boutinot ‘Les Cerisiers’, Côtes du Rhône Rosé, 2020",1
2022-08-04,"Boutinot ‘Les Cerisiers’, Côtes du Rhône Rosé, 2020",6
2022-08-06,"Boutinot ‘Les Cerisiers’, Côtes du Rhône Rosé, 2020",1
2022-08-07,"Boutinot ‘Les Cerisiers’, Côtes du Rhône Rosé, 2020",1
2022-08-10,"Boutinot ‘Les Cerisiers’, Côtes du Rhône Rosé, 2020",1
2022-08-11,"Boutinot ‘Les Cerisiers’, Côtes du Rhône Rosé, 2020",1
2022-08-13,"Boutinot ‘Les Cerisiers’, Côtes du Rhône Rosé, 2020",1
2022-08-19,"Boutinot ‘Les Cerisiers’, Côtes du Rhône Rosé, 2020",1
2022-08-25,"Boutinot ‘Les Cerisiers’, Côtes du Rhône Rosé, 2020",6
2022-08-30,"Boutinot ‘Les Cerisiers’, Côtes du Rhône Rosé, 2020",9
2022-08-31,"Boutinot ‘Les Cerisiers’, Côtes du Rhône Rosé, 2020",1
2022-09-02,"Boutinot ‘Les Cerisiers’, Côtes du Rhône Rosé, 2020",2
2022-09-05,"Boutinot ‘Les Cerisiers’, Côtes du Rhône Rosé, 2020",5
2022-09-06,"Boutinot ‘Les Cerisiers’, Côtes du Rhône Rosé, 2020",1
2022-09-07,"Boutinot ‘Les Cerisiers’, Côtes du Rhône Rosé, 2020",6
2022-09-11,"Boutinot ‘Les Cerisiers’, Côtes du Rhône Rosé, 2020",1
2022-09-12,"Boutinot ‘Les Cerisiers’, Côtes du Rhône Rosé, 2020",7
2022-09-13,"Boutinot ‘Les Cerisiers’, Côtes du Rhône Rosé, 2020",2
2022-09-17,"Boutinot ‘Les Cerisiers’, Côtes du Rhône Rosé, 2020",2
2022-09-20,"Boutinot ‘Les Cerisiers’, Côtes du Rhône Rosé, 2020",1
2022-09-22,"Boutinot ‘Les Cerisiers’, Côtes du Rhône Rosé, 2020",4
2022-09-23,"Boutinot ‘Les Cerisiers’, Côtes du Rhône Rosé, 2020",7
2022-09-26,"Boutinot ‘Les Cerisiers’, Côtes du Rhône Rosé, 2020",1
2022-09-27,"Boutinot ‘Les Cerisiers’, Côtes du Rhône Rosé, 2020",4
2022-09-28,"Boutinot ‘Les Cerisiers’, Côtes du Rhône Rosé, 2020",1
2022-10-01,"Boutinot ‘Les Cerisiers’, Côtes du Rhône Rosé, 2020",2
2022-10-02,"Boutinot ‘Les Cerisiers’, Côtes du Rhône Rosé, 2020",1
2022-10-03,"Boutinot ‘Les Cerisiers’, Côtes du Rhône Rosé, 2020",1
2022-10-04,"Boutinot ‘Les Cerisiers’, Côtes du Rhône Rosé, 2020",2
2022-10-07,"Boutinot ‘Les Cerisiers’, Côtes du Rhône Rosé, 2020",1
2022-10-12,"Boutinot ‘Les Cerisiers’, Côtes du Rhône Rosé, 2020",2
2022-10-17,"Boutinot ‘Les Cerisiers’, Côtes du Rhône Rosé, 2020",4
2022-10-18,"Boutinot ‘Les Cerisiers’, Côtes du Rhône Rosé, 2020",2
2022-10-19,"Boutinot ‘Les Cerisiers’, Côtes du Rhône Rosé, 2020",1
2022-10-21,"Boutinot ‘Les Cerisiers’, Côtes du Rhône Rosé, 2020",2
2022-10-22,"Boutinot ‘Les Cerisiers’, Côtes du Rhône Rosé, 2020",1
2022-10-24,"Boutinot ‘Les Cerisiers’, Côtes du Rhône Rosé, 2020",6
2022-10-28,"Boutinot ‘Les Cerisiers’, Côtes du Rhône Rosé, 2020",1
2022-10-30,"Boutinot ‘Les Cerisiers’, Côtes du Rhône Rosé, 2020",1
2022-11-01,"Boutinot ‘Les Cerisiers’, Côtes du Rhône Rosé, 2020",3
2022-11-02,"Boutinot ‘Les Cerisiers’, Côtes du Rhône Rosé, 2020",1
2022-11-06,"Boutinot ‘Les Cerisiers’, Côtes du Rhône Rosé, 2020",3
2022-11-12,"Boutinot ‘Les Cerisiers’, Côtes du Rhône Rosé, 2020",2
2022-11-18,"Boutinot ‘Les Cerisiers’, Côtes du Rhône Rosé, 2020",1
2022-11-19,"Boutinot ‘Les Cerisiers’, Côtes du Rhône Rosé, 2020",3
2022-11-20,"Boutinot ‘Les Cerisiers’, Côtes du Rhône Rosé, 2020",1
2022-11-23,"Boutinot ‘Les Cerisiers’, Côtes du Rhône Rosé, 2020",2
2022-11-25,"Boutinot ‘Les Cerisiers’, Côtes du Rhône Rosé, 2020",2
2022-11-29,"Boutinot ‘Les Cerisiers’, Côtes du Rhône Rosé, 2020",1
2022-12-01,"Boutinot ‘Les Cerisiers’, Côtes du Rhône Rosé, 2020",4
2022-12-03,"Boutinot ‘Les Cerisiers’, Côtes du Rhône Rosé, 2020",2
2022-12-04,"Boutinot ‘Les Cerisiers’, Côtes du Rhône Rosé, 2020",1
2022-12-05,"Boutinot ‘Les Cerisiers’, Côtes du Rhône Rosé, 2020",6
2022-12-08,"Boutinot ‘Les Cerisiers’, Côtes du Rhône Rosé, 2020",6
2022-12-13,"Boutinot ‘Les Cerisiers’, Côtes du Rhône Rosé, 2020",4
2022-12-14,"Boutinot ‘Les Cerisiers’, Côtes du Rhône Rosé, 2020",4
2022-12-16,"Boutinot ‘Les Cerisiers’, Côtes du Rhône Rosé, 2020",13
2022-12-18,"Boutinot ‘Les Cerisiers’, Côtes du Rhône Rosé, 2020",3
2022-12-20,"Boutinot ‘Les Cerisiers’, Côtes du Rhône Rosé, 2020",4
2022-12-23,"Boutinot ‘Les Cerisiers’, Côtes du Rhône Rosé, 2020",2
2022-12-24,"Boutinot ‘Les Cerisiers’, Côtes du Rhône Rosé, 2020",1
2022-12-29,"Boutinot ‘Les Cerisiers’, Côtes du Rhône Rosé, 2020",2
2023-01-03,"Boutinot ‘Les Cerisiers’, Côtes du Rhône Rosé, 2020",1
2023-01-04,"Boutinot ‘Les Cerisiers’, Côtes du Rhône Rosé, 2020",1
2023-01-10,"Boutinot ‘Les Cerisiers’, Côtes du Rhône Rosé, 2020",1
2023-01-11,"Boutinot ‘Les Cerisiers’, Côtes du Rhône Rosé, 2020",1
2023-01-13,"Boutinot ‘Les Cerisiers’, Côtes du Rhône Rosé, 2020",1
2023-01-16,"Boutinot ‘Les Cerisiers’, Côtes du Rhône Rosé, 2020",1
2023-01-17,"Boutinot ‘Les Cerisiers’, Côtes du Rhône Rosé, 2020",2
