Date,Product Name,Quantity
2021-12-07,La Escondida Reserva Malbec,1
2021-12-08,La Escondida Reserva Malbec,2
2021-12-14,La Escondida Reserva Malbec,3
2021-12-15,La Escondida Reserva Malbec,10
2021-12-16,La Escondida Reserva Malbec,1
2021-12-30,La Escondida Reserva Malbec,1
2022-01-04,"La Escondida Reserva Malbec, 2020",1
2022-01-04,La Escondida Reserva Malbec,1
2022-01-06,"La Escondida Reserva Malbec, 2020",1
2022-01-06,La Escondida Reserva Malbec,1
2022-01-07,"La Escondida Reserva Malbec, 2020",1
2022-01-07,La Escondida Reserva Malbec,1
2022-01-08,"La Escondida Reserva Malbec, 2020",1
2022-01-08,La Escondida Reserva Malbec,1
2022-01-10,"La Escondida Reserva Malbec, 2020",1
2022-01-10,La Escondida Reserva Malbec,1
2022-01-12,"La Escondida Reserva Malbec, 2020",1
2022-01-12,La Escondida Reserva Malbec,1
2022-01-15,"La Escondida Reserva Malbec, 2020",6
2022-01-15,La Escondida Reserva Malbec,3
2022-01-17,"La Escondida Reserva Malbec, 2020",2
2022-01-17,La Escondida Reserva Malbec,1
2022-01-25,"La Escondida Reserva Malbec, 2020",2
2022-01-25,La Escondida Reserva Malbec,2
2022-01-27,"La Escondida Reserva Malbec, 2020",1
2022-01-27,La Escondida Reserva Malbec,1
2022-01-28,"La Escondida Reserva Malbec, 2020",2
2022-01-28,La Escondida Reserva Malbec,2
2022-01-29,"La Escondida Reserva Malbec, 2020",3
2022-01-29,La Escondida Reserva Malbec,3
2022-02-04,"La Escondida Reserva Malbec, 2020",1
2022-02-04,La Escondida Reserva Malbec,1
2022-03-08,La Escondida Reserva Malbec,2
2022-03-10,La Escondida Reserva Malbec,1
2022-03-11,La Escondida Reserva Malbec,1
2022-03-14,La Escondida Reserva Malbec,1
2022-03-15,La Escondida Reserva Malbec,2
2022-03-18,La Escondida Reserva Malbec,3
2022-03-21,La Escondida Reserva Malbec,1
2022-03-23,La Escondida Reserva Malbec,2
2022-03-25,La Escondida Reserva Malbec,1
2022-03-28,La Escondida Reserva Malbec,1
2022-03-30,La Escondida Reserva Malbec,1
2022-04-08,La Escondida Reserva Malbec,3
2022-04-09,La Escondida Reserva Malbec,3
2022-04-10,La Escondida Reserva Malbec,1
2022-04-18,"La Escondida Reserva Malbec, 2020",1
2022-04-22,"La Escondida Reserva Malbec, 2020",1
2022-05-05,"La Escondida Reserva Malbec, 2020",3
2022-05-06,"La Escondida Reserva Malbec, 2020",1
2022-05-31,"La Escondida Reserva Malbec, 2020",1
2022-06-11,"La Escondida Reserva Malbec, 2020",1
2022-06-23,"La Escondida Reserva Malbec, 2020",2
2022-06-28,"La Escondida Reserva Malbec, 2020",4
2022-07-01,"La Escondida Reserva Malbec, 2020",2
2022-07-07,"La Escondida Reserva Malbec, 2020",1
2022-09-23,"La Escondida Reserva Malbec, 2020",2
2022-09-25,"La Escondida Reserva Malbec, 2020",1
2022-09-26,"La Escondida Reserva Malbec, 2020",2
2022-10-01,"La Escondida Reserva Malbec, 2020",1
2022-10-06,"La Escondida Reserva Malbec, 2020",2
2022-10-09,"La Escondida Reserva Malbec, 2020",1
2022-10-14,"La Escondida Reserva Malbec, 2020",1
2022-10-18,"La Escondida Reserva Malbec, 2020",1
2022-10-19,"La Escondida Reserva Malbec, 2020",1
2022-10-21,"La Escondida Reserva Malbec, 2020",2
2022-10-22,"La Escondida Reserva Malbec, 2020",2
2022-10-25,"La Escondida Reserva Malbec, 2020",2
2022-10-28,"La Escondida Reserva Malbec, 2020",3
2022-10-31,"La Escondida Reserva Malbec, 2020",2
2022-11-02,"La Escondida Reserva Malbec, 2020",2
