Date,Product Name,Quantity
2023-04-01,Sylivia Basket Lemons- 1kg,1
2023-04-02,Sylivia Basket Lemons- 1kg,3
2023-04-03,Sylivia Basket Lemons- 1kg,1
2023-04-04,Sylivia Basket Lemons- 1kg,2
2023-04-05,Sylivia Basket Lemons- 1kg,1
2023-04-08,Sylivia Basket Lemons- 1kg,1
2023-04-09,Sylivia Basket Lemons- 1kg,2
2023-04-11,Sylivia Basket Lemons- 1kg,3
2023-04-15,Sylivia Basket Lemons- 1kg,1
2023-04-22,Sylivia Basket Lemons- 1kg,2
2023-04-23,Sylivia Basket Lemons- 1kg,4
2023-04-24,Sylivia Basket Lemons- 1kg,4
2023-04-25,Sylvia Basket Lemons- 1kg,3
2023-04-26,Sylvia Basket Lemons- 1kg,2
2023-05-15,Sylvia Basket Organic Lemons- 1kg,4
2023-05-16,Sylvia Basket Organic Lemons- 1kg,3
2023-05-17,Sylvia Basket Organic Lemons- 1kg,1
2023-05-18,Sylvia Basket Organic Lemons- 1kg,1
2023-05-19,Sylvia Basket Organic Lemons- 1kg,3
2023-05-20,Sylvia Basket Organic Lemons- 1kg,1
2023-05-21,Sylvia Basket Organic Lemons- 1kg,2
2023-05-22,Sylvia Basket Organic Lemons- 1kg,2
2023-05-23,Sylvia Basket Organic Lemons- 1kg,3
2023-05-25,Sylvia Basket Organic Lemons- 1kg,2
2023-05-27,Sylvia Basket Organic Lemons- 1kg,2
2023-06-10,Sylvia Basket Organic Lemons- 1kg,3
2023-06-12,Sylvia Basket Organic Lemons- 1kg,2
2023-06-13,Sylvia Basket Organic Lemons- 1kg,2
2023-06-16,Sylvia Basket Organic Lemons- 1kg,1
2023-06-17,Sylvia Basket Organic Lemons- 1kg,2
2023-06-19,Sylvia Basket Organic Lemons- 1kg,1
2023-06-25,Sylvia Basket Organic Lemons- 1kg,1
2023-06-26,Sylvia Basket Organic Lemons- 1kg,2
2023-07-03,Sylvia Basket Organic Lemons- 1kg,2
2023-07-05,Sylvia Basket Organic Lemons- 1kg,2
2023-07-08,Sylvia Basket Organic Lemons- 500g,1
2023-07-10,Sylvia Basket Organic Lemons- 500g,3
2023-07-11,Sylvia Basket Organic Lemons- 500g,2
2023-07-16,Sylvia Basket Organic Lemons- 500g,1
2023-07-17,Sylvia Basket Organic Lemons- 500g,2
2023-07-18,Sylvia Basket Organic Lemons- 500g,6
2023-07-21,Sylvia Basket Organic Lemons- 500g,1
2023-08-03,Sylvia Basket Organic Lemons - 500g,1
2023-08-04,Sylvia Basket Organic Lemons - 500g,4
2023-08-05,Sylvia Basket Organic Lemons - 500g,3
2023-08-07,Sylvia Basket Organic Lemons - 500g,2
2023-08-09,Sylvia Basket Organic Lemons - 500g,1
2023-08-10,Sylvia Basket Organic Lemons - 500g,1
2023-09-01,Sylvia Basket Organic Lemons - 500g,1
2023-09-02,Sylvia Basket Organic Lemons - 500g,5
2023-09-03,Sylvia Basket Organic Lemons - 500g,2
2023-09-04,Sylvia Basket Organic Lemons - 500g,2
2023-09-05,Sylvia Basket Organic Lemons - 500g,3
2023-09-06,Sylvia Basket Organic Lemons - 500g,4
2023-09-08,Sylvia Basket Organic Lemons - 500g,4
2023-09-09,Sylvia Basket Organic Lemons - 500g,1
2023-09-10,Sylvia Basket Organic Lemons - 500g,2
2023-09-12,Sylvia Basket Organic Lemons - 500g,4
2023-09-13,Sylvia Basket Organic Lemons - 500g,1
2023-09-16,Sylvia Basket Organic Lemons - 500g,2
2023-09-17,Sylvia Basket Organic Lemons - 500g,2
2023-09-18,Sylvia Basket Organic Lemons - 500g,6
2023-09-19,Sylvia Basket Organic Lemons - 500g,2
2023-09-20,Sylvia Basket Organic Lemons - 500g,1
2023-09-21,Sylvia Basket Organic Lemons - 500g,4
2023-09-22,Sylvia Basket Organic Lemons - 500g,2
2023-09-27,Sylvia Basket Organic Lemons - 500g,3
2023-09-28,Sylvia Basket Organic Lemons - 500g,1
2023-09-29,Sylvia Basket Organic Lemons - 500g,3
2023-10-02,Sylvia Basket Organic Lemons - 500g,2
2023-10-03,Sylvia Basket Organic Lemons - 500g,4
2023-10-04,Sylvia Basket Organic Lemons - 500g,1
2023-10-05,Sylvia Basket Organic Lemons - 500g,4
2023-10-06,Sylvia Basket Organic Lemons - 500g,2
2023-10-07,Sylvia Basket Organic Lemons - 500g,4
2023-10-08,Sylvia Basket Organic Lemons - 500g,1
2023-10-09,Sylvia Basket Organic Lemons - 500g,2
2023-10-27,Sylvia Basket Organic Lemons - 500g,1
2023-10-28,Sylvia Basket Organic Lemons - 500g,1
2023-10-30,Sylvia Basket Organic Lemons - 500g,1
2023-10-31,Sylvia Basket Organic Lemons - 500g,1
2023-11-01,Sylvia Basket Organic Lemons - 500g,1
2023-11-02,Sylvia Basket Organic Lemons - 500g,2
2023-11-03,Sylvia Basket Organic Lemons - 500g,2
2023-11-05,Sylvia Basket Organic Lemons - 500g,4
2023-11-07,Sylvia Basket Organic Lemons - 500g,6
2023-11-08,Sylvia Basket Organic Lemons - 500g,2
2023-11-09,Sylvia Basket Organic Lemons - 500g,8
2023-11-10,Sylvia Basket Organic Lemons - 500g,1
2023-11-11,Sylvia Basket Organic Lemons - 500g,1
2023-11-13,Sylvia Basket Organic Lemons - 500g,1
2023-11-14,Sylvia Basket Organic Lemons - 500g,6
