Date,Product Name,Quantity
2022-11-17,"The Fat Italian Seriously Fudgy Brownies - 540g (Order by 10pm, Next Day Afternoon Delivery) - Thursday (Order by Wednesday 11 am for delivery)",1
2022-11-24,"The Fat Italian Seriously Fudgy Brownies - 540g (Order by 10pm, Next Day Afternoon Delivery)",2
2022-11-30,"The Fat Italian Seriously Fudgy Brownies - 540g (Order by 10pm, Next Day Afternoon Delivery)",1
2022-12-05,"The Fat Italian Seriously Fudgy Brownies - 540g (Order by 10pm, Next Day Afternoon Delivery)",2
2022-12-17,"The Fat Italian Seriously Fudgy Brownies - 540g (Order by 10pm, Next Day Afternoon Delivery)",1
2022-12-24,"The Fat Italian Seriously Fudgy Brownies - 540g (Order by 10pm, Next Day Afternoon Delivery)",1
2023-01-05,"The Fat Italian Seriously Fudgy Brownies - 540g (Order by 10pm, Next Day Afternoon Delivery)",1
2023-02-02,"The Fat Italian Seriously Fudgy Brownies - 540g (Order by 10pm, Next Day Afternoon Delivery)",2
2023-02-08,"The Fat Italian Seriously Fudgy Brownies - 540g (Order by 10pm, Next Day Afternoon Delivery)",1
2023-02-15,"The Fat Italian Seriously Fudgy Brownies - 540g (Order by 10pm, Next Day Afternoon Delivery)",2
2023-02-27,"The Fat Italian Seriously Fudgy Brownies - 540g (Order by 10pm, Next Day Afternoon Delivery)",1
2023-02-28,"The Fat Italian Seriously Fudgy Brownies - 540g (Order by 10pm, Next Day Afternoon Delivery)",1
2023-03-01,"The Fat Italian Seriously Fudgy Brownies - 540g (Order by 10pm, Next Day Afternoon Delivery)",2
2023-03-02,"The Fat Italian Seriously Fudgy Brownies - 540g (Order by 10pm, Next Day Afternoon Delivery)",1
2023-03-03,"The Fat Italian Seriously Fudgy Brownies - 540g (Order by 10pm, Next Day Afternoon Delivery)",1
2023-03-04,"The Fat Italian Seriously Fudgy Brownies - 540g (Order by 10pm, Next Day Afternoon Delivery)",1
2023-03-06,"The Fat Italian Seriously Fudgy Brownies - 540g (Order by 10pm, Next Day Afternoon Delivery)",2
2023-03-08,"The Fat Italian Seriously Fudgy Brownies - 540g (Order by 10pm, Next Day Afternoon Delivery)",1
2023-03-10,"The Fat Italian Seriously Fudgy Brownies - 540g (Order by 10pm, Next Day Afternoon Delivery)",1
