Date,Product Name,Quantity
2022-09-02,Tropical Heat Heroes Salt & Vinegar Crisps - 110g,1
2022-09-07,Tropical Heat Heroes Salt & Vinegar Crisps - 110g,2
2022-09-13,Tropical Heat Heroes Salt & Vinegar Crisps - 110g,4
2022-09-14,Tropical Heat Heroes Salt & Vinegar Crisps - 110g,1
2022-09-15,Tropical Heat Heroes Salt & Vinegar Crisps - 110g,1
2022-09-16,Tropical Heat Heroes Salt & Vinegar Crisps - 110g,1
2022-09-18,Tropical Heat Heroes Salt & Vinegar Crisps - 110g,1
2022-09-19,Tropical Heat Heroes Salt & Vinegar Crisps - 110g,1
2022-09-23,Tropical Heat Heroes Salt & Vinegar Crisps - 110g,1
2022-09-25,Tropical Heat Heroes Salt & Vinegar Crisps - 110g,1
2022-10-03,Tropical Heat Heroes Salt & Vinegar Crisps - 110g,1
2022-10-04,Tropical Heat Heroes Salt & Vinegar Crisps - 110g,3
2022-10-05,Tropical Heat Heroes Salt & Vinegar Crisps - 110g,2
2022-10-13,Tropical Heat Heroes Salt & Vinegar Crisps - 110g,1
2022-10-17,Tropical Heat Heroes Salt & Vinegar Crisps - 110g,2
2022-10-21,Tropical Heat Heroes Salt & Vinegar Crisps - 110g,2
2022-10-28,Tropical Heat Heroes Salt & Vinegar Crisps - 110g,2
2022-10-30,Tropical Heat Heroes Salt & Vinegar Crisps - 110g,1
2022-11-03,Tropical Heat Heroes Salt & Vinegar Crisps - 110g,1
2022-11-15,Tropical Heat Heroes Salt & Vinegar Crisps - 110g,2
2022-11-18,Tropical Heat Heroes Salt & Vinegar Crisps - 110g,1
2022-11-21,Tropical Heat Heroes Salt & Vinegar Crisps - 110g,1
2022-11-22,Tropical Heat Heroes Salt & Vinegar Crisps - 110g,1
2022-12-01,Tropical Heat Heroes Salt & Vinegar Crisps - 110g,1
2022-12-05,Tropical Heat Heroes Salt & Vinegar Crisps - 110g,1
2022-12-08,Tropical Heat Heroes Salt & Vinegar Crisps - 110g,1
2022-12-09,Tropical Heat Heroes Salt & Vinegar Crisps - 110g,1
2022-12-13,Tropical Heat Heroes Salt & Vinegar Crisps - 110g,2
2022-12-14,Tropical Heat Heroes Salt & Vinegar Crisps - 110g,2
2022-12-16,Tropical Heat Heroes Salt & Vinegar Crisps - 110g,1
2022-12-17,Tropical Heat Heroes Salt & Vinegar Crisps - 110g,2
2022-12-20,Tropical Heat Heroes Salt & Vinegar Crisps - 110g,1
2022-12-21,Tropical Heat Heroes Salt & Vinegar Crisps - 110g,1
2023-01-04,Tropical Heat Heroes Salt & Vinegar Crisps - 110g,4
2023-01-05,Tropical Heat Heroes Salt & Vinegar Crisps - 110g,3
2023-01-09,Tropical Heat Heroes Salt & Vinegar Crisps - 110g,2
2023-01-14,Tropical Heat Heroes Salt & Vinegar Crisps - 110g,2
2023-01-16,Tropical Heat Heroes Salt & Vinegar Crisps - 110g,1
2023-01-17,Tropical Heat Heroes Salt & Vinegar Crisps - 110g,1
2023-01-18,Tropical Heat Heroes Salt & Vinegar Crisps - 110g,1
2023-01-30,Tropical Heat Heroes Salt & Vinegar Crisps - 110g,1
2023-02-03,Tropical Heat Heroes Salt & Vinegar Crisps - 110g,1
2023-02-05,Tropical Heat Heroes Salt & Vinegar Crisps - 110g,1
2023-02-07,Tropical Heat Heroes Salt & Vinegar Crisps - 110g,2
2023-02-12,Tropical Heat Heroes Salt & Vinegar Crisps - 110g,1
2023-02-13,Tropical Heat Heroes Salt & Vinegar Crisps - 110g,1
2023-02-14,Tropical Heat Heroes Salt & Vinegar Crisps - 110g,2
2023-02-15,Tropical Heat Heroes Salt & Vinegar Crisps - 110g,2
2023-02-16,Tropical Heat Heroes Salt & Vinegar Crisps - 110g,3
2023-02-19,Tropical Heat Heroes Salt & Vinegar Crisps - 110g,1
2023-02-20,Tropical Heat Heroes Salt & Vinegar Crisps - 110g,4
2023-02-24,Tropical Heat Heroes Salt & Vinegar Crisps - 110g,1
