Date,Product Name,Quantity
2018-12-02,Twajenga Buckwheat flour - 2kg,1
2018-12-20,Twajenga Buckwheat flour - 2kg,1
2019-01-16,Twajenga Buckwheat flour - 2kg,1
2019-01-23,Twajenga Buckwheat flour - 2kg,1
2019-02-04,Twajenga Buckwheat flour - 2kg,1
2019-04-16,Twajenga Buckwheat flour - 2kg,1
2019-04-22,Twajenga Buckwheat flour - 2kg,1
2019-05-07,Twajenga Buckwheat flour - 2kg,2
2019-05-08,Twajenga Buckwheat flour - 2kg,2
2019-05-11,Twajenga Buckwheat flour - 2kg,1
2019-05-13,Twajenga Buckwheat flour - 2kg,1
2019-05-14,Twajenga Buckwheat flour - 2kg,1
2019-06-07,Twajenga Buckwheat flour - 2kg,1
2019-06-12,Twajenga Buckwheat flour - 2kg,1
2019-07-05,Twajenga Buckwheat flour - 2kg,1
2019-07-11,Twajenga Buckwheat flour - 2kg,1
2019-07-12,Twajenga Buckwheat flour - 2kg,1
2019-07-15,Twajenga Buckwheat flour - 2kg,1
2019-07-31,Twajenga Buckwheat flour - 2kg,1
2019-08-02,Twajenga Buckwheat flour - 2kg,2
2019-08-18,Twajenga Buckwheat flour - 2kg,1
2019-09-02,Twajenga Buckwheat flour - 2kg,2
2019-09-04,Twajenga Buckwheat flour - 2kg,1
2019-09-22,Twajenga Buckwheat flour - 2kg,3
2019-09-25,Twajenga Buckwheat flour - 2kg,2
2019-10-11,Twajenga Buckwheat flour - 2kg,1
2019-10-14,Twajenga Buckwheat flour - 2kg,1
2019-10-16,Twajenga Buckwheat flour - 2kg,1
2019-10-22,Twajenga Buckwheat flour - 2kg,1
2019-10-23,Twajenga Buckwheat flour - 2kg,2
2019-10-24,Twajenga Buckwheat flour - 2kg,1
2019-10-27,Twajenga Buckwheat flour - 2kg,1
2019-11-05,Twajenga Buckwheat flour - 2kg,1
2019-11-06,Twajenga Buckwheat flour - 2kg,1
2019-11-10,Twajenga Buckwheat flour - 2kg,1
2019-11-18,Twajenga Buckwheat flour - 2kg,1
2019-11-25,Twajenga Buckwheat flour - 2kg,2
2019-11-29,Twajenga Buckwheat flour - 2kg,2
2019-12-02,Twajenga Buckwheat flour - 2kg,1
2019-12-11,Twajenga Buckwheat flour - 2kg,1
2019-12-19,Twajenga Buckwheat flour - 2kg,1
2020-01-14,Twajenga Buckwheat flour - 2kg,2
2020-01-22,Twajenga Buckwheat flour - 2kg,1
2020-02-20,Twajenga Buckwheat flour - 2kg,2
2020-02-21,Twajenga Buckwheat flour - 2kg,2
2020-02-26,Twajenga Buckwheat flour - 2kg,2
2020-03-03,Twajenga Buckwheat flour - 2kg,1
2020-03-09,Twajenga Buckwheat flour - 2kg,1
2020-03-11,Twajenga Buckwheat flour - 2kg,1
2020-03-14,Twajenga Buckwheat flour - 2kg,1
2020-03-25,Twajenga Buckwheat flour - 2kg,1
2020-03-26,Twajenga Buckwheat flour - 2kg,2
2020-03-30,Twajenga Buckwheat flour - 2kg,4
2020-03-31,Twajenga Buckwheat flour - 2kg,2
2020-04-01,Twajenga Buckwheat flour - 2kg,2
2020-04-06,Twajenga Buckwheat flour - 2kg,1
2020-04-09,Twajenga Buckwheat flour - 2kg,9
2020-04-14,Twajenga Buckwheat flour - 2kg,2
2020-04-16,Twajenga Buckwheat flour - 2kg,1
2020-04-17,Twajenga Buckwheat flour - 2kg,1
2020-04-20,Twajenga Buckwheat flour - 2kg,1
2020-04-22,Twajenga Buckwheat flour - 2kg,1
2020-04-23,Twajenga Buckwheat flour - 2kg,1
2020-04-25,Twajenga Buckwheat flour - 2kg,1
2020-04-26,Twajenga Buckwheat flour - 2kg,1
2020-04-27,Twajenga Buckwheat flour - 2kg,4
2020-04-28,Twajenga Buckwheat flour - 2kg,2
2020-05-03,Twajenga Buckwheat flour - 2kg,1
2020-05-04,Twajenga Buckwheat flour - 2kg,2
2020-05-08,Twajenga Buckwheat flour - 2kg,2
2020-05-11,Twajenga Buckwheat flour - 2kg,1
2020-05-14,Twajenga Buckwheat flour - 2kg,2
2020-05-18,Twajenga Buckwheat flour - 2kg,2
2020-05-21,Twajenga Buckwheat flour - 2kg,1
2020-05-22,Twajenga Buckwheat flour - 2kg,1
2020-05-26,Twajenga Buckwheat flour - 2kg,2
2020-05-27,Twajenga Buckwheat flour - 2kg,2
2020-05-28,Twajenga Buckwheat flour - 2kg,5
2020-05-29,Twajenga Buckwheat flour - 2kg,1
2020-05-30,Twajenga Buckwheat flour - 2kg,1
2020-06-02,Twajenga Buckwheat flour - 2kg,2
2020-06-11,Twajenga Buckwheat flour - 2kg,1
2020-06-13,Twajenga Buckwheat flour - 2kg,1
2020-06-24,Twajenga Buckwheat flour - 2kg,1
2020-06-29,Twajenga Buckwheat flour - 2kg,2
2020-06-30,Twajenga Buckwheat flour - 2kg,1
2020-07-01,Twajenga Buckwheat flour - 2kg,2
2020-07-03,Twajenga Buckwheat flour - 2kg,2
2020-07-06,Twajenga Buckwheat flour - 2kg,1
2020-07-08,Twajenga Buckwheat flour - 2kg,1
2020-07-14,Twajenga Buckwheat flour - 2kg,1
2020-07-16,Twajenga Buckwheat flour - 2kg,1
2020-07-17,Twajenga Buckwheat flour - 2kg,2
2020-07-21,Twajenga Buckwheat flour - 2kg,1
2020-07-24,Twajenga Buckwheat flour - 2kg,1
2020-07-29,Twajenga Buckwheat flour - 2kg,4
2020-07-30,Twajenga Buckwheat flour - 2kg,1
2020-08-01,Twajenga Buckwheat flour - 2kg,1
2020-08-04,Twajenga Buckwheat flour - 2kg,2
2020-08-05,Twajenga Buckwheat flour - 2kg,2
2020-08-11,Twajenga Buckwheat flour - 2kg,1
2020-08-12,Twajenga Buckwheat flour - 2kg,1
2020-08-20,Twajenga Buckwheat flour - 2kg,1
2020-09-01,Twajenga Buckwheat flour - 2kg,1
2020-09-11,Twajenga Buckwheat flour - 2kg,1
