Date,Product Name,Quantity
2018-11-30,Twajenga Spelt flour - 2kg,1
2018-12-10,Twajenga Spelt flour - 2kg,1
2018-12-12,Twajenga Spelt flour - 2kg,1
2018-12-17,Twajenga Spelt flour - 2kg,5
2018-12-18,Twajenga Spelt flour - 2kg,1
2019-01-09,Twajenga Spelt flour - 2kg,2
2020-03-02,Twajenga Spelt flour - 2kg,1
2020-03-09,Twajenga Spelt flour - 2kg,4
2020-03-10,Twajenga Spelt flour - 2kg,3
2020-03-13,Twajenga Spelt flour - 2kg,2
2020-03-16,Twajenga Spelt flour - 2kg,2
2020-03-24,Twajenga Spelt flour - 2kg,1
2020-03-26,Twajenga Spelt flour - 2kg,2
2020-03-28,Twajenga Spelt flour - 2kg,2
2020-03-30,Twajenga Spelt flour - 2kg,4
2020-03-31,Twajenga Spelt flour - 2kg,4
2020-04-01,Twajenga Spelt flour - 2kg,3
2020-04-02,Twajenga Spelt flour - 2kg,1
2020-04-03,Twajenga Spelt flour - 2kg,1
2020-04-06,Twajenga Spelt flour - 2kg,7
2020-04-09,Twajenga Spelt flour - 2kg,8
2020-04-16,Twajenga Spelt flour - 2kg,2
2020-04-17,Twajenga Spelt flour - 2kg,1
2020-04-20,Twajenga Spelt flour - 2kg,1
2020-04-22,Twajenga Spelt flour - 2kg,1
2020-04-23,Twajenga Spelt flour - 2kg,1
2020-04-27,Twajenga Spelt flour - 2kg,6
2020-04-28,Twajenga Spelt flour - 2kg,2
2020-04-30,Twajenga Spelt flour - 2kg,2
2020-05-02,Twajenga Spelt flour - 2kg,3
2020-05-04,Twajenga Spelt flour - 2kg,2
2020-05-07,Twajenga Spelt flour - 2kg,1
2020-05-13,Twajenga Spelt flour - 2kg,7
2020-05-18,Twajenga Spelt flour - 2kg,1
2020-05-19,Twajenga Spelt flour - 2kg,1
2020-05-20,Twajenga Spelt flour - 2kg,1
2020-05-21,Twajenga Spelt flour - 2kg,5
2020-05-23,Twajenga Spelt flour - 2kg,2
2020-05-26,Twajenga Spelt flour - 2kg,1
2020-06-18,Twajenga Spelt flour - 2kg,7
2020-06-19,Twajenga Spelt flour - 2kg,2
2020-06-23,Twajenga Spelt flour - 2kg,1
2020-06-24,Twajenga Spelt flour - 2kg,2
2020-06-25,Twajenga Spelt flour - 2kg,3
2020-06-26,Twajenga Spelt flour - 2kg,2
2020-06-27,Twajenga Spelt flour - 2kg,3
2020-06-30,Twajenga Spelt flour - 2kg,4
2020-07-02,Twajenga Spelt flour - 2kg,1
2020-07-03,Twajenga Spelt flour - 2kg,4
2020-07-04,Twajenga Spelt flour - 2kg,2
2020-07-06,Twajenga Spelt flour - 2kg,4
2020-07-07,Twajenga Spelt flour - 2kg,1
2020-07-09,Twajenga Spelt flour - 2kg,1
2020-07-10,Twajenga Spelt flour - 2kg,1
2020-07-11,Twajenga Spelt flour - 2kg,3
2020-07-14,Twajenga Spelt flour - 2kg,3
2020-07-17,Twajenga Spelt flour - 2kg,1
2020-07-23,Twajenga Spelt flour - 2kg,1
2020-07-24,Twajenga Spelt flour - 2kg,4
2020-07-29,Twajenga Spelt flour - 2kg,11
2020-07-30,Twajenga Spelt flour - 2kg,1
2020-07-31,Twajenga Spelt flour - 2kg,2
2020-08-01,Twajenga Spelt flour - 2kg,1
2020-08-04,Twajenga Spelt flour - 2kg,1
2020-08-11,Twajenga Spelt flour - 2kg,1
2020-08-15,Twajenga Spelt flour - 2kg,2
2020-08-24,Twajenga Spelt flour - 2kg,6
2020-08-25,Twajenga Spelt flour - 2kg,2
2020-08-31,Twajenga Spelt flour - 2kg,1
2020-09-01,Twajenga Spelt flour - 2kg,1
2020-09-03,Twajenga Spelt flour - 2kg,4
2020-09-04,Twajenga Spelt flour - 2kg,1
2020-09-07,Twajenga Spelt flour - 2kg,3
2020-09-09,Twajenga Spelt flour - 2kg,3
2020-09-11,Twajenga Spelt flour - 2kg,1
2020-09-18,Twajenga Spelt flour - 2kg,1
2020-09-24,Twajenga Spelt flour - 2kg,3
2020-09-26,Twajenga Spelt flour - 2kg,1
2020-09-28,Twajenga Spelt flour - 2kg,1
2020-10-01,Twajenga Spelt flour - 2kg,1
2020-10-02,Twajenga Spelt flour - 2kg,1
2020-10-05,Twajenga Spelt flour - 2kg,1
2020-10-06,Twajenga Spelt flour - 2kg,1
2020-10-07,Twajenga Spelt flour - 2kg,1
2020-10-09,Twajenga Spelt flour - 2kg,1
2020-10-13,Twajenga Spelt flour - 2kg,5
2020-10-19,Twajenga Spelt flour - 2kg,3
2020-10-23,Twajenga Spelt flour - 2kg,5
2020-10-26,Twajenga Spelt flour - 2kg,1
2020-10-27,Twajenga Spelt flour - 2kg,1
2020-10-28,Twajenga Spelt flour - 2kg,1
2020-11-04,Twajenga Spelt flour - 2kg,2
2020-11-05,Twajenga Spelt flour - 2kg,3
2020-11-11,Twajenga Spelt flour - 2kg,1
2020-11-16,Twajenga Spelt flour - 2kg,1
2020-11-20,Twajenga Spelt flour - 2kg,1
2020-11-23,Twajenga Spelt flour - 2kg,4
2020-11-24,Twajenga Spelt flour - 2kg,3
2020-11-26,Twajenga Spelt flour - 2kg,1
2020-12-04,Twajenga Spelt flour - 2kg,1
2020-12-09,Twajenga Spelt flour - 2kg,4
2020-12-14,Twajenga Spelt flour - 2kg,3
2020-12-16,Twajenga Spelt flour - 2kg,2
2020-12-20,Twajenga Spelt flour - 2kg,5
2020-12-28,Twajenga Spelt flour - 2kg,1
2020-12-29,Twajenga Spelt flour - 2kg,1
2021-01-03,Twajenga Spelt flour - 2kg,3
2021-01-06,Twajenga Spelt flour - 2kg,1
2021-01-08,Twajenga Spelt flour - 2kg,1
2021-01-14,Twajenga Spelt flour - 2kg,1
2021-01-15,Twajenga Spelt flour - 2kg,1
2021-01-21,Twajenga Spelt flour - 2kg,10
2021-11-19,Twajenga Spelt flour - 2kg,1
2021-11-22,Twajenga Spelt flour - 2kg,1
2021-11-23,Twajenga Spelt flour - 2kg,1
2021-11-27,Twajenga Spelt flour - 2kg,1
2021-11-29,Twajenga Spelt flour - 2kg,5
2021-11-30,Twajenga Spelt flour - 2kg,1
2021-12-02,Twajenga Spelt flour - 2kg,3
2021-12-03,Twajenga Spelt flour - 2kg,3
2021-12-08,Twajenga Spelt flour - 2kg,1
2021-12-10,Twajenga Spelt flour - 2kg,3
2021-12-14,Twajenga Spelt flour - 2kg,4
2021-12-15,Twajenga Spelt flour - 2kg,1
2021-12-16,Twajenga Spelt flour - 2kg,1
2021-12-17,Twajenga Spelt flour - 2kg,1
2021-12-21,Twajenga Spelt flour - 2kg,1
2021-12-22,Twajenga Spelt flour - 2kg,1
2021-12-23,Twajenga Spelt flour - 2kg,2
2021-12-28,Twajenga Spelt flour - 2kg,2
2022-01-01,Twajenga Spelt flour - 2kg,6
2022-01-04,Twajenga Spelt flour - 2kg,2
2022-01-09,Twajenga Spelt flour - 2kg,2
2022-01-10,Twajenga Spelt flour - 2kg,4
2022-01-11,Twajenga Spelt flour - 2kg,2
2022-01-14,Twajenga Spelt flour - 2kg,2
2022-01-18,Twajenga Spelt flour - 2kg,5
2022-01-19,Twajenga Spelt flour - 2kg,2
2022-01-21,Twajenga Spelt flour - 2kg,4
2022-01-25,Twajenga Spelt flour - 2kg,2
2022-01-28,Twajenga Spelt flour - 2kg,4
2022-01-29,Twajenga Spelt flour - 2kg,4
2022-01-31,Twajenga Spelt flour - 2kg,2
2022-02-02,Twajenga Spelt flour - 2kg,4
2022-02-05,Twajenga Spelt flour - 2kg,10
2022-02-08,Twajenga Spelt flour - 2kg,2
2022-02-09,Twajenga Spelt flour - 2kg,8
2022-02-10,Twajenga Spelt flour - 2kg,2
2022-02-15,Twajenga Spelt flour - 2kg,2
2022-02-21,Twajenga Spelt flour - 2kg,2
2022-02-24,Twajenga Spelt flour - 2kg,4
2022-02-28,Twajenga Spelt flour - 2kg,2
2022-03-01,Twajenga Spelt flour - 2kg,4
2022-03-03,Twajenga Spelt flour - 2kg,4
2022-03-04,Twajenga Spelt flour - 2kg,1
2022-03-05,Twajenga Spelt flour - 2kg,1
2022-03-08,Twajenga Spelt flour - 2kg,4
2022-03-10,Twajenga Spelt flour - 2kg,3
2022-03-11,Twajenga Spelt flour - 2kg,6
2022-03-14,Twajenga Spelt flour - 2kg,1
2022-03-15,Twajenga Spelt flour - 2kg,2
2022-03-16,Twajenga Spelt flour - 2kg,2
2022-03-19,Twajenga Spelt flour - 2kg,5
2022-03-21,Twajenga Spelt flour - 2kg,1
2022-03-23,Twajenga Spelt flour - 2kg,1
2022-03-28,Twajenga Spelt flour - 2kg,1
2022-03-29,Twajenga Spelt flour - 2kg,1
2022-03-31,Twajenga Spelt flour - 2kg,8
2022-04-02,Twajenga Spelt flour - 2kg,2
2022-04-04,Twajenga Spelt flour - 2kg,1
2022-04-05,Twajenga Spelt flour - 2kg,2
2022-04-06,Twajenga Spelt flour - 2kg,6
2022-04-20,Twajenga Spelt flour - 2kg,2
2022-04-22,Twajenga Spelt flour - 2kg,1
2022-04-24,Twajenga Spelt flour - 2kg,1
2022-04-28,Twajenga Spelt flour - 2kg,2
2022-04-29,Twajenga Spelt flour - 2kg,1
2022-04-30,Twajenga Spelt flour - 2kg,4
2022-05-02,Twajenga Spelt flour - 2kg,1
2022-05-03,Twajenga Spelt flour - 2kg,1
2022-05-10,Twajenga Spelt flour - 2kg,1
2022-05-13,Twajenga Spelt flour - 2kg,3
2022-05-14,Twajenga Spelt flour - 2kg,2
2022-05-15,Twajenga Spelt flour - 2kg,2
2022-05-18,Twajenga Spelt flour - 2kg,1
2022-05-24,Twajenga Spelt flour - 2kg,2
2022-05-26,Twajenga Spelt flour - 2kg,5
2022-05-29,Twajenga Spelt flour - 2kg,1
2022-05-30,Twajenga Spelt flour - 2kg,1
2022-06-07,Twajenga Spelt flour - 2kg,1
2022-06-08,Twajenga Spelt flour - 2kg,1
2022-06-09,Twajenga Spelt flour - 2kg,1
2022-06-10,Twajenga Spelt flour - 2kg,1
2022-06-13,Twajenga Spelt flour - 2kg,2
2022-06-26,Twajenga Spelt flour - 2kg,5
2022-07-09,Twajenga Spelt flour - 2kg,1
2022-07-14,Twajenga Spelt flour - 2kg,1
2022-07-21,Twajenga Spelt flour - 2kg,10
2022-08-08,Twajenga Spelt flour - 2kg,2
2022-08-12,Twajenga Spelt flour - 2kg,2
2022-08-15,Twajenga Spelt flour - 2kg,1
2022-08-23,Twajenga Spelt flour - 2kg,1
2022-08-24,Twajenga Spelt flour - 2kg,1
2022-08-25,Twajenga Spelt flour - 2kg,1
2022-08-29,Twajenga Spelt flour - 2kg,3
2022-08-30,Twajenga Spelt flour - 2kg,1
2022-09-01,Twajenga Spelt flour - 2kg,1
