Date,Product Name,Quantity
2022-04-28,Twajenga Whole Grain Wheat Flour - 2kg,5
2022-05-01,Twajenga Whole Grain Wheat Flour - 2kg,1
2022-05-02,Twajenga Whole Grain Wheat Flour - 2kg,1
2022-05-04,Twajenga Whole Grain Wheat Flour - 2kg,1
2022-05-05,Twajenga Whole Grain Wheat Flour - 2kg,4
2022-05-15,Twajenga Whole Grain Wheat Flour - 2kg,1
2022-05-17,Twajenga Whole Grain Wheat Flour - 2kg,5
2022-05-18,Twajenga Whole Grain Wheat Flour - 2kg,1
2022-05-19,Twajenga Whole Grain Wheat Flour - 2kg,2
2022-05-20,Twajenga Whole Grain Wheat Flour - 2kg,2
2022-05-26,Twajenga Whole Grain Wheat Flour - 2kg,1
2022-05-27,Twajenga Whole Grain Wheat Flour - 2kg,2
2022-05-28,Twajenga Whole Grain Wheat Flour - 2kg,1
2022-05-29,Twajenga Whole Grain Wheat Flour - 2kg,1
2022-05-30,Twajenga Whole Grain Wheat Flour - 2kg,3
2022-06-01,Twajenga Whole Grain Wheat Flour - 2kg,1
2022-06-06,Twajenga Whole Grain Wheat Flour - 2kg,1
2022-06-07,Twajenga Whole Grain Wheat Flour - 2kg,3
2022-06-09,Twajenga Whole Grain Wheat Flour - 2kg,2
2022-06-10,Twajenga Whole Grain Wheat Flour - 2kg,1
2022-06-13,Twajenga Whole Grain Wheat Flour - 2kg,2
2022-06-17,Twajenga Whole Grain Wheat Flour - 2kg,1
2022-06-20,Twajenga Whole Grain Wheat Flour - 2kg,4
2022-06-27,Twajenga Whole Grain Wheat Flour - 2kg,1
2022-06-30,Twajenga Whole Grain Wheat Flour - 2kg,1
2022-07-02,Twajenga Whole Grain Wheat Flour - 2kg,2
2022-07-04,Twajenga Whole Grain Wheat Flour - 2kg,1
2022-07-06,Twajenga Whole Grain Wheat Flour - 2kg,1
2022-07-14,Twajenga Whole Grain Wheat Flour - 2kg,2
2022-07-18,Twajenga Whole Grain Wheat Flour - 2kg,1
2022-07-25,Twajenga Whole Grain Wheat Flour - 2kg,2
2022-07-27,Twajenga Whole Grain Wheat Flour - 2kg,1
2022-07-30,Twajenga Whole Grain Wheat Flour - 2kg,1
