Date,Product Name,Quantity
2021-12-18,Nairobi Street Kitchen Bitola Red,1
2021-12-19,Nairobi Street Kitchen Bitola Red,1
2021-12-20,Nairobi Street Kitchen Bitola Red,1
2021-12-21,Nairobi Street Kitchen Bitola Red,1
2021-12-24,Nairobi Street Kitchen Bitola Red,1
2021-12-28,Nairobi Street Kitchen Bitola Red,1
2021-12-30,Nairobi Street Kitchen Bitola Red,1
2022-01-06,Nairobi Street Kitchen Bitola Red,2
2022-01-11,Nairobi Street Kitchen Bitola Red,2
2022-01-13,Nairobi Street Kitchen Bitola Red,2
2022-01-20,Nairobi Street Kitchen Bitola Red,2
2022-01-25,Nairobi Street Kitchen Bitola Red,2
2022-01-27,Nairobi Street Kitchen Bitola Red,4
2022-01-28,Nairobi Street Kitchen Bitola Red,2
2022-02-03,Nairobi Street Kitchen Bitola Red,2
2022-02-04,Nairobi Street Kitchen Bitola Red,4
2022-02-15,Nairobi Street Kitchen Bitola Red,8
2022-02-17,Nairobi Street Kitchen Bitola Red,2
2022-02-22,Nairobi Street Kitchen Bitola Red,2
2022-02-23,Nairobi Street Kitchen Bitola Red,4
2022-02-25,Nairobi Street Kitchen Bitola Red,2
2022-03-01,Nairobi Street Kitchen Bitola Red,16
2022-03-02,Nairobi Street Kitchen Bitola Red,1
2022-03-03,Nairobi Street Kitchen Bitola Red,1
2022-03-04,Nairobi Street Kitchen Bitola Red,2
2022-03-10,Nairobi Street Kitchen Bitola Red,2
2022-03-12,Nairobi Street Kitchen Bitola Red,2
2022-03-14,Nairobi Street Kitchen Bitola Red,2
2022-03-15,Nairobi Street Kitchen Bitola Red,3
2022-03-17,Nairobi Street Kitchen Bitola Red,1
2022-03-22,Nairobi Street Kitchen Bitola Red,1
2022-03-24,Nairobi Street Kitchen Bitola Red,5
2022-03-30,Nairobi Street Kitchen Bitola Red,1
2022-03-31,Nairobi Street Kitchen Bitola Red,8
2022-04-08,Nairobi Street Kitchen Bitola Red,1
2022-04-10,Nairobi Street Kitchen Bitola Red,2
2022-04-12,Nairobi Street Kitchen Bitola Red,11
2022-04-14,Nairobi Street Kitchen Bitola Red,2
2022-04-15,Nairobi Street Kitchen Bitola Red,3
2022-04-21,Nairobi Street Kitchen Bitola Red,2
2022-04-22,Nairobi Street Kitchen Bitola Red,3
2022-04-25,Nairobi Street Kitchen Bitola Red,1
2022-04-28,Nairobi Street Kitchen Bitola Red,2
2022-04-30,Nairobi Street Kitchen Bitola Red,1
2022-05-01,Nairobi Street Kitchen Bitola Red,1
2022-05-06,Nairobi Street Kitchen Bitola Red,1
2022-05-09,Nairobi Street Kitchen Bitola Red,1
2022-05-11,Nairobi Street Kitchen Bitola Red,1
2022-05-18,Nairobi Street Kitchen Bitola Red,1
2022-05-21,Nairobi Street Kitchen Bitola Red,3
2022-05-27,Nairobi Street Kitchen Bitola Red,1
2022-05-29,Nairobi Street Kitchen Bitola Red,1
2022-06-05,Nairobi Street Kitchen Bitola Red,1
2022-06-07,Nairobi Street Kitchen Bitola Red,1
2022-06-08,Nairobi Street Kitchen Bitola Red,1
2022-06-16,Nairobi Street Kitchen Bitola Red,1
2022-06-20,Nairobi Street Kitchen Bitola Red,1
2022-06-22,Nairobi Street Kitchen Bitola Red,2
2022-06-29,Nairobi Street Kitchen Bitola Red,3
2022-07-02,Nairobi Street Kitchen Bitola Red,4
2022-07-04,Nairobi Street Kitchen Bitola Red,1
2022-08-04,Nairobi Street Kitchen Bitola Red,1
2022-08-06,Nairobi Street Kitchen Bitola Red,1
2022-08-12,Nairobi Street Kitchen Bitola Red,3
2022-08-16,Nairobi Street Kitchen Bitola Red,1
2022-08-17,Nairobi Street Kitchen Bitola Red,1
2022-08-19,Nairobi Street Kitchen Bitola Red,6
2022-09-07,Nairobi Street Kitchen Bitola Red,1
2022-09-08,Nairobi Street Kitchen Bitola Red,1
2022-09-14,Nairobi Street Kitchen Bitola Red,1
2022-09-20,Nairobi Street Kitchen Bitola Red,1
2022-10-04,Nairobi Street Kitchen Bitola Red,1
2022-10-05,Nairobi Street Kitchen Bitola Red,1
2022-10-14,Nairobi Street Kitchen Bitola Red,1
2022-10-17,Nairobi Street Kitchen Bitola Red,1
2022-10-18,Nairobi Street Kitchen Bitola Red,1
2022-10-24,Nairobi Street Kitchen Bitola Red,1
2022-10-25,Nairobi Street Kitchen Bitola Red,2
2022-10-26,Nairobi Street Kitchen Bitola Red,10
2022-10-30,Nairobi Street Kitchen Bitola Red,6
2022-11-02,Nairobi Street Kitchen Bitola Red,2
2022-11-03,Nairobi Street Kitchen Bitola Red,3
2022-11-07,Nairobi Street Kitchen Bitola Red,3
2022-11-10,Nairobi Street Kitchen Bitola Red,1
2022-11-11,Nairobi Street Kitchen Bitola Red,6
2022-11-14,Nairobi Street Kitchen Bitola Red,2
2022-11-16,Nairobi Street Kitchen Bitola Red,2
2022-11-18,Nairobi Street Kitchen Bitola Red,1
2022-11-20,Nairobi Street Kitchen Bitola Red,1
2022-11-21,Nairobi Street Kitchen Bitola Red,1
2022-11-22,Nairobi Street Kitchen Bitola Red,2
2022-11-23,Nairobi Street Kitchen Bitola Red,3
2022-11-24,Nairobi Street Kitchen Bitola Red,8
2022-11-25,Nairobi Street Kitchen Bitola Red,5
2022-11-26,Nairobi Street Kitchen Bitola Red,2
2022-11-27,Nairobi Street Kitchen Bitola Red,1
2022-11-28,Nairobi Street Kitchen Bitola Red,10
2022-11-30,Nairobi Street Kitchen Bitola Red,2
2022-12-05,Nairobi Street Kitchen Bitola Red,6
2022-12-06,Nairobi Street Kitchen Bitola Red,6
2022-12-07,Nairobi Street Kitchen Bitola Red,2
2022-12-14,Nairobi Street Kitchen Bitola Red,1
2022-12-15,Nairobi Street Kitchen Bitola Red,2
2022-12-17,Nairobi Street Kitchen Bitola Red,3
2022-12-19,Nairobi Street Kitchen Bitola Red,3
2022-12-20,Nairobi Street Kitchen Bitola Red,2
2022-12-21,Nairobi Street Kitchen Bitola Red,1
2022-12-26,Nairobi Street Kitchen Bitola Red,2
2022-12-29,Nairobi Street Kitchen Bitola Red,1
2023-01-02,Nairobi Street Kitchen Bitola Red,2
2023-01-05,Nairobi Street Kitchen Bitola Red,1
2023-01-20,Nairobi Street Kitchen Bitola Red,19
2023-01-23,Nairobi Street Kitchen Bitola Red,1
2023-01-24,Nairobi Street Kitchen Bitola Red,2
2023-01-27,Nairobi Street Kitchen Bitola Red,1
2023-01-30,Nairobi Street Kitchen Bitola Red,2
2023-01-31,Nairobi Street Kitchen Bitola Red,2
2023-02-07,Nairobi Street Kitchen Bitola Red,1
2023-02-09,Nairobi Street Kitchen Bitola Red,1
2023-02-14,Nairobi Street Kitchen Bitola Red,3
2023-02-22,Nairobi Street Kitchen Bitola Red,4
2023-02-28,Nairobi Street Kitchen Bitola Red,1
2023-03-01,Nairobi Street Kitchen Bitola Red,1
2023-03-03,Nairobi Street Kitchen Bitola Red,3
2023-03-07,Nairobi Street Kitchen Bitola Red,1
2023-03-10,Nairobi Street Kitchen Bitola Red,6
2023-03-13,Nairobi Street Kitchen Bitola Red,1
2023-03-15,Nairobi Street Kitchen Bitola Red,3
2023-03-21,Nairobi Street Kitchen Bitola Red,1
2023-03-25,Nairobi Street Kitchen Bitola Red,1
2023-04-04,Nairobi Street Kitchen Bitola Red,3
2023-04-06,Nairobi Street Kitchen Bitola Red,12
2023-04-08,Nairobi Street Kitchen Bitola Red,2
2023-04-10,Nairobi Street Kitchen Bitola Red,1
2023-04-11,Nairobi Street Kitchen Bitola Red,1
2023-04-14,Nairobi Street Kitchen Bitola Red,3
2023-04-17,Nairobi Street Kitchen Bitola Red,2
2023-04-19,Nairobi Street Kitchen Bitola Red,2
2023-04-20,Nairobi Street Kitchen Bitola Red,1
2023-04-21,Nairobi Street Kitchen Bitola Red,1
2023-04-22,Nairobi Street Kitchen Bitola Red,1
2023-04-23,Nairobi Street Kitchen Bitola Red,1
2023-04-24,Nairobi Street Kitchen Bitola Red,2
2023-04-26,Nairobi Street Kitchen Bitola Red,1
2023-04-28,Nairobi Street Kitchen Bitola Red,12
2023-04-29,Nairobi Street Kitchen Bitola Red,4
2023-05-04,Nairobi Street Kitchen Bitola Red,4
2023-05-06,Nairobi Street Kitchen Bitola Red,1
2023-05-08,Nairobi Street Kitchen Bitola Red,2
