Date,Product Name,Quantity
2022-02-09,VP Foods Fine Beans - 250g,1
2022-02-09,VP Foods Fine Beans - 500g,1
2022-02-10,VP Foods Fine Beans - 250g,1
2022-02-10,VP Foods Fine Beans - 500g,1
2022-02-11,VP Foods Fine Beans - 250g,2
2022-02-11,VP Foods Fine Beans - 500g,2
2022-02-12,VP Foods Fine Beans - 250g,1
2022-02-12,VP Foods Fine Beans - 500g,1
2022-02-14,VP Foods Fine Beans - 250g,1
2022-02-14,VP Foods Fine Beans - 500g,1
2022-02-15,VP Foods Fine Beans - 250g,2
2022-02-16,VP Foods Fine Beans - 250g,4
2022-02-17,VP Foods Fine Beans - 250g,2
2022-02-18,VP Foods Fine Beans - 250g,18
2022-05-08,VP Foods Fine Beans - 250g,1
2022-05-09,VP Foods Fine Beans - 250g,4
2022-05-10,VP Foods Fine Beans - 250g,3
2022-05-13,VP Foods Fine Beans - 250g,2
2022-05-14,VP Foods Fine Beans - 250g,1
2022-05-16,VP Foods Fine Beans - 250g,2
2022-05-17,VP Foods Fine Beans - 250g,3
2022-05-18,VP Foods Fine Beans - 250g,1
2022-05-19,VP Foods Fine Beans - 250g,2
2022-05-21,VP Foods Fine Beans - 250g,1
2022-05-22,VP Foods Fine Beans - 250g,1
2022-05-25,VP Foods Fine Beans - 250g,2
2022-05-28,VP Foods Fine Beans - 250g,2
2022-05-30,VP Foods Fine Beans - 250g,1
2022-05-31,VP Foods Fine Beans - 250g,1
2022-06-02,VP Foods Fine Beans - 250g,1
2022-06-07,VP Foods Fine Beans - 250g,1
2022-06-09,VP Foods Fine Beans - 250g,3
2022-06-10,VP Foods Fine Beans - 250g,1
2022-06-13,VP Foods Fine Beans - 250g,1
2022-06-14,VP Foods Fine Beans - 250g,2
2022-06-15,VP Foods Fine Beans - 250g,1
2022-06-20,VP Foods Fine Beans - 250g,2
2022-06-23,VP Foods Fine Beans - 250g,1
2022-06-28,VP Foods Fine Beans - 250g,2
2022-07-02,VP Foods Fine Beans - 250g,1
2022-07-03,VP Foods Fine Beans - 250g,1
2022-07-05,VP Foods Fine Beans - 250g,1
2022-07-06,VP Foods Fine Beans - 250g,2
2022-07-07,VP Foods Fine Beans - 250g,1
2022-07-12,VP Foods Fine Beans - 250g,2
2022-07-13,VP Foods Fine Beans - 250g,1
2022-07-17,VP Foods Fine Beans - 250g,1
2022-07-19,VP Foods Fine Beans - 250g,2
2022-07-23,VP Foods Fine Beans - 250g,1
2022-07-30,VP Foods Fine Beans - 250g,1
2022-08-01,VP Foods Fine Beans - 250g,1
2022-08-02,VP Foods Fine Beans - 250g,1
2022-08-04,VP Foods Fine Beans - 250g,1
2022-08-05,VP Foods Fine Beans - 250g,2
2022-08-06,VP Foods Fine Beans - 250g,1
2022-08-07,VP Foods Fine Beans - 250g,2
2022-08-08,VP Foods Fine Beans - 250g,2
2022-08-17,VP Foods Fine Beans - 250g,1
2022-09-12,VP Foods Fine Beans - 250g,2
2022-09-13,VP Foods Fine Beans - 250g,1
2022-09-14,VP Foods Fine Beans - 250g,1
2022-09-17,VP Foods Fine Beans - 250g,2
2022-09-19,VP Foods Fine Beans - 250g,2
2022-09-21,VP Foods Fine Beans - 250g,3
2022-09-22,VP Foods Fine Beans - 250g,1
2022-09-23,VP Foods Fine Beans - 250g,2
2022-09-24,VP Foods Fine Beans - 250g,2
2022-09-26,VP Foods Fine Beans - 250g,2
2022-09-27,VP Foods Fine Beans - 250g,2
2022-09-29,VP Foods Fine Beans - 250g,1
2022-09-30,VP Foods Fine Beans - 250g,1
2022-10-04,VP Foods Fine Beans - 250g,2
2022-10-05,VP Foods Fine Beans - 250g,2
2022-10-08,VP Foods Fine Beans - 250g,1
2022-10-09,VP Foods Fine Beans - 250g,2
2022-10-12,VP Foods Fine Beans - 250g,2
2022-10-13,VP Foods Fine Beans - 250g,1
2022-10-16,VP Foods Fine Beans - 250g,1
2022-10-17,VP Foods Fine Beans - 250g,1
2022-10-19,VP Foods Fine Beans - 250g,1
2022-10-21,VP Foods Fine Beans - 250g,5
2022-10-23,VP Foods Fine Beans - 250g,4
2022-10-26,VP Foods Fine Beans - 250g,1
2022-10-27,VP Foods Fine Beans - 250g,3
2022-10-30,VP Foods Fine Beans - 250g,4
2022-10-31,VP Foods Fine Beans - 250g,3
2022-11-01,VP Foods Fine Beans - 250g,3
2022-11-02,VP Foods Fine Beans - 250g,2
2022-11-06,VP Foods Fine Beans - 250g,1
2022-11-07,VP Foods Fine Beans - 250g,2
2022-11-10,VP Foods Fine Beans - 250g,1
2022-11-11,VP Foods Fine Beans - 250g,1
2022-11-12,VP Foods Fine Beans - 250g,1
2022-11-13,VP Foods Fine Beans - 250g,1
2022-11-17,VP Foods Fine Beans - 250g,1
2022-11-18,VP Foods Fine Beans - 250g,1
2022-11-22,VP Foods Fine Beans - 250g,1
2022-11-23,VP Foods Fine Beans - 250g,7
2022-11-24,VP Foods Fine Beans - 250g,5
2022-11-25,VP Foods Fine Beans - 250g,3
2022-11-29,VP Foods Fine Beans - 250g,5
2022-12-01,VP Foods Fine Beans - 250g,1
2022-12-03,VP Foods Fine Beans - 250g,3
2022-12-04,VP Foods Fine Beans - 250g,1
2022-12-09,VP Foods Fine Beans - 250g,1
2022-12-11,VP Foods Fine Beans - 250g,2
2022-12-14,VP Foods Fine Beans - 250g,5
2022-12-15,VP Foods Fine Beans - 250g,1
2022-12-16,VP Foods Fine Beans - 250g,1
2022-12-19,VP Foods Fine Beans - 250g,2
2022-12-20,VP Foods Fine Beans - 250g,2
2022-12-21,VP Foods Fine Beans - 250g,4
2022-12-23,VP Foods Fine Beans - 250g,3
2022-12-27,VP Foods Fine Beans - 250g,1
2022-12-28,VP Foods Fine Beans - 250g,1
2023-01-05,VP Foods Fine Beans - 250g,2
2023-01-06,VP Foods Fine Beans - 250g,3
2023-01-09,VP Foods Fine Beans - 250g,5
2023-01-10,VP Foods Fine Beans - 250g,2
2023-01-11,VP Foods Fine Beans - 250g,2
2023-01-13,VP Foods Fine Beans - 250g,2
2023-01-14,VP Foods Fine Beans - 250g,4
2023-01-16,VP Foods Fine Beans - 250g,1
2023-01-19,VP Foods Fine Beans - 250g,2
2023-01-20,VP Foods Fine Beans - 250g,3
2023-01-23,VP Foods Fine Beans - 250g,4
2023-01-24,VP Foods Fine Beans - 250g,4
2023-01-30,VP Foods Fine Beans - 250g,2
2023-01-31,VP Foods Fine Beans - 250g,3
2023-02-03,VP Foods Fine Beans - 250g,1
2023-02-06,VP Foods Fine Beans - 250g,4
2023-02-08,VP Foods Fine Beans - 250g,2
2023-02-09,VP Foods Fine Beans - 250g,2
2023-02-12,VP Foods Fine Beans - 250g,2
2023-02-13,VP Foods Fine Beans - 250g,3
2023-02-14,VP Foods Fine Beans - 250g,3
2023-02-15,VP Foods Fine Beans - 250g,4
2023-02-19,VP Foods Fine Beans - 250g,1
2023-02-21,VP Foods Fine Beans - 250g,4
2023-02-22,VP Foods Fine Beans - 250g,4
2023-03-12,VP Foods Fine Beans - 250g,3
2023-03-13,VP Foods Fine Beans - 250g,7
2023-03-14,VP Foods Fine Beans - 250g,4
2023-03-17,VP Foods Fine Beans - 250g,4
2023-03-19,VP Foods Fine Beans - 250g,2
2023-03-20,VP Foods Fine Beans - 250g,5
2023-03-24,VP Foods Fine Beans - 250g,3
2023-03-25,VP Foods Fine Beans - 250g,1
2023-03-27,VP Foods Fine Beans - 250g,4
2023-03-28,VP Foods Fine Beans - 250g,14
2023-04-02,VP Foods Fine Beans - 250g,1
2023-04-03,VP Foods Fine Beans - 250g,4
2023-04-04,VP Foods Fine Beans - 250g,4
2023-04-05,VP Foods Fine Beans - 250g,3
2023-04-08,VP Foods Fine Beans - 250g,1
2023-04-09,VP Foods Fine Beans - 250g,4
2023-04-10,VP Foods Fine Beans - 250g,1
2023-04-11,VP Foods Fine Beans - 250g,5
2023-04-12,VP Foods Fine Beans - 250g,1
2023-04-13,VP Foods Fine Beans - 250g,4
2023-04-14,VP Foods Fine Beans - 250g,1
2023-04-15,VP Foods Fine Beans - 250g,4
2023-04-16,VP Foods Fine Beans - 250g,2
2023-04-17,VP Foods Fine Beans - 250g,4
2023-04-19,VP Foods Fine Beans - 250g,3
2023-04-20,VP Foods Fine Beans - 250g,1
2023-04-21,VP Foods Fine Beans - 250g,3
2023-04-22,VP Foods Fine Beans - 250g,4
2023-04-23,VP Foods Fine Beans - 250g,1
2023-04-24,VP Foods Fine Beans - 250g,3
2023-04-25,VP Foods Fine Beans - 250g,2
2023-04-26,VP Foods Fine Beans - 250g,7
2023-04-27,VP Foods Fine Beans - 250g,5
2023-04-28,VP Foods Fine Beans - 250g,4
2023-04-30,VP Foods Fine Beans - 250g,3
2023-05-01,VP Foods Fine Beans - 250g,2
2023-05-02,VP Foods Fine Beans - 250g,2
2023-05-05,VP Foods Fine Beans - 250g,8
2023-05-06,VP Foods Fine Beans - 250g,3
2023-05-07,VP Foods Fine Beans - 250g,2
2023-05-08,VP Foods Fine Beans - 250g,3
2023-05-09,VP Foods Fine Beans - 250g,3
2023-05-10,VP Foods Fine Beans - 250g,5
2023-05-11,VP Foods Fine Beans - 250g,2
2023-05-12,VP Foods Fine Beans - 250g,1
2023-05-14,VP Foods Fine Beans - 250g,1
2023-05-15,VP Foods Fine Beans - 250g,3
2023-05-16,VP Foods Fine Beans - 250g,2
2023-05-18,VP Foods Fine Beans - 250g,1
2023-05-20,VP Foods Fine Beans - 250g,3
2023-05-21,VP Foods Fine Beans - 250g,2
2023-05-22,VP Foods Fine Beans - 250g,3
2023-05-23,VP Foods Fine Beans - 250g,1
2023-05-24,VP Foods Fine Beans - 250g,3
2023-05-25,VP Foods Fine Beans - 250g,1
2023-05-26,VP Foods Fine Beans - 250g,2
2023-05-28,VP Foods Fine Beans - 250g,1
2023-05-29,VP Foods Fine Beans - 250g,4
2023-05-31,VP Foods Fine Beans - 250g,2
2023-06-02,VP Foods Fine Beans - 250g,2
2023-06-05,VP Foods Fine Beans - 250g,3
2023-06-06,VP Foods Fine Beans - 250g,4
2023-06-07,VP Foods Fine Beans - 250g,1
2023-06-08,VP Foods Fine Beans - 250g,1
2023-06-10,VP Foods Fine Beans - 250g,3
2023-06-13,VP Foods Fine Beans - 250g,5
2023-06-14,VP Foods Fine Beans - 250g,1
2023-06-16,VP Foods Fine Beans - 250g,4
2023-06-19,VP Foods Fine Beans - 250g,1
2023-06-20,VP Foods Fine Beans - 250g,2
2023-06-22,VP Foods Fine Beans - 250g,1
2023-06-23,VP Foods Fine Beans - 250g,1
2023-06-26,VP Foods Fine Beans - 250g,5
2023-06-27,VP Foods Fine Beans - 250g,1
2023-06-28,VP Foods Fine Beans - 250g,2
2023-06-30,VP Foods Fine Beans - 250g,3
2023-07-02,VP Foods Fine Beans - 250g,1
2023-07-03,VP Foods Fine Beans - 250g,1
2023-07-08,VP Foods Fine Beans - 250g,1
2023-07-09,VP Foods Fine Beans - 250g,2
2023-07-10,VP Foods Fine Beans - 250g,5
2023-07-11,VP Foods Fine Beans - 250g,1
2023-09-30,VP Foods Fine Beans - 250g,3
2023-10-01,VP Foods Fine Beans - 250g,1
2023-10-04,VP Foods Fine Beans - 250g,3
2023-10-06,VP Foods Fine Beans - 250g,2
2023-10-10,VP Foods Fine Beans - 250g,1
2023-10-11,VP Foods Fine Beans - 250g,1
2023-10-12,VP Foods Fine Beans - 250g,1
2023-10-14,VP Foods Fine Beans - 250g,3
2023-10-16,VP Foods Fine Beans - 250g,2
2023-10-18,VP Foods Fine Beans - 250g,2
2023-10-20,VP Foods Fine Beans - 250g,3
2023-10-22,VP Foods Fine Beans - 250g,2
2023-10-23,VP Foods Fine Beans - 250g,5
2023-10-24,VP Foods Fine Beans - 250g,1
