Date,Product Name,Quantity
2018-12-14,WHB Lamb Shank,4
2019-01-18,WHB Lamb Shank,1
2019-01-19,WHB Lamb Shank,3
2019-01-20,WHB Lamb Shank,1
2019-01-29,WHB Lamb Shank,5
2019-02-08,WHB Lamb Shank,1
2019-02-17,WHB Lamb Shank,3
2019-02-20,WHB Lamb Shank,1
2019-03-08,WHB Lamb Shank,2
2019-03-09,WHB Lamb Shank,2
2019-03-12,WHB Lamb Shank,1
2019-03-14,WHB Lamb Shank,1
2019-03-15,WHB Lamb Shank,1
2019-03-22,WHB Lamb Shank,1
2019-03-27,WHB Lamb Shank,2
2019-04-05,WHB Lamb Shank,1
2019-04-10,WHB Lamb Shank,3
2019-04-16,WHB Lamb Shank,2
2019-04-17,WHB Lamb Shank,5
2019-04-22,WHB Lamb Shank,1
2019-04-24,WHB Lamb Shank,1
2019-04-29,WHB Lamb Shank,1
2019-05-02,WHB Lamb Shank,1
2019-05-03,WHB Lamb Shank,2
2019-05-05,WHB Lamb Shank,1
2019-05-07,WHB Lamb Shank,3
2019-05-14,WHB Lamb Shank,2
2019-05-17,WHB Lamb Shank,3
2019-06-13,WHB Lamb Shank,2
2019-06-24,WHB Lamb Shank,2
2019-07-03,WHB Lamb Shank,3
2019-07-08,WHB Lamb Shank,2
2019-07-11,WHB Lamb Shank,1
2019-07-15,WHB Lamb Shank,1
2019-07-18,WHB Lamb Shank,5
2019-07-24,WHB Lamb Shank,5
2019-07-31,WHB Lamb Shank,1
2019-08-13,WHB Lamb Shank,1
2019-08-22,WHB Lamb Shank,1
2019-08-23,WHB Lamb Shank,2
2019-08-30,WHB Lamb Shank,1
2019-09-02,WHB Lamb Shank,3
2019-09-04,WHB Lamb Shank,1
2019-09-09,WHB Lamb Shank,2
2019-09-13,WHB Lamb Shank,4
2019-09-14,WHB Lamb Shank,1
2019-09-16,WHB Lamb Shank,5
2019-10-08,WHB Lamb Shank,1
2019-10-15,WHB Lamb Shank,1
2019-10-16,WHB Lamb Shank,1
2019-10-18,WHB Lamb Shank,1
2019-10-23,WHB Lamb Shank,2
2019-10-29,WHB Lamb Shank,2
2019-10-31,WHB Lamb Shank,1
2019-11-06,WHB Lamb Shank,1
2019-11-11,WHB Lamb Shank,7
2019-11-14,WHB Lamb Shank,1
2019-11-15,WHB Lamb Shank,1
2019-11-19,WHB Lamb Shank,1
2019-11-22,WHB Lamb Shank,2
2019-11-25,WHB Lamb Shank,1
2019-11-28,WHB Lamb Shank,3
2019-12-13,WHB Lamb Shank,1
2019-12-16,WHB Lamb Shank,8
2019-12-22,WHB Lamb Shank,1
2020-01-06,WHB Lamb Shank,1
2020-01-15,WHB Lamb Shank,3
2020-01-18,WHB Lamb Shank,2
2020-01-20,WHB Lamb Shank,3
2020-01-29,WHB Lamb Shank,1
2020-02-04,WHB Lamb Shank,1
2020-02-05,WHB Lamb Shank,1
2020-02-10,WHB Lamb Shank,2
2020-02-12,WHB Lamb Shank,4
2020-02-20,WHB Lamb Shank,1
2020-02-25,WHB Lamb Shank,2
2020-02-26,WHB Lamb Shank,3
2020-02-29,WHB Lamb Shank,1
2020-03-06,WHB Lamb Shank,3
2020-03-13,WHB Lamb Shank,2
2020-03-14,WHB Lamb Shank,3
2020-03-16,WHB Lamb Shank,2
2020-03-17,WHB Lamb Shank,3
2020-03-18,WHB Lamb Shank,2
2020-03-23,WHB Lamb Shank,1
2020-03-24,WHB Lamb Shank,1
2020-03-26,WHB Lamb Shank,1
2020-03-27,WHB Lamb Shank,3
2020-03-30,WHB Lamb Shank,2
2020-04-16,WHB Lamb Shank,3
2020-04-17,WHB Lamb Shank,1
2020-04-20,WHB Lamb Shank,1
2020-04-21,WHB Lamb Shank,3
2020-04-22,WHB Lamb Shank,2
2020-04-27,WHB Lamb Shank,3
2020-04-28,WHB Lamb Shank,5
2020-04-30,WHB Lamb Shank,4
2020-05-04,WHB Lamb Shank,1
2020-05-08,WHB Lamb Shank,7
2020-05-14,WHB Lamb Shank,1
2020-05-20,WHB Lamb Shank,2
2020-05-21,WHB Lamb Shank,6
2020-05-23,WHB Lamb Shank,5
2020-06-14,WHB Lamb Shank,9
2020-07-17,WHB Lamb Shank,3
2020-07-21,WHB Lamb Shank,1
2020-08-03,WHB Lamb Shank,1
2020-08-05,WHB Lamb Shank,1
2020-08-13,WHB Lamb Shank,1
2020-08-17,WHB Lamb Shank,1
2020-08-18,WHB Lamb Shank,5
2020-08-20,WHB Lamb Shank,1
2020-09-01,WHB Lamb Shank,5
2020-09-03,WHB Lamb Shank,4
2020-09-04,WHB Lamb Shank,5
2020-09-07,WHB Lamb Shank,3
2020-09-11,WHB Lamb Shank,2
2020-09-14,WHB Lamb Shank,2
2020-09-17,WHB Lamb Shank,2
2020-09-21,WHB Lamb Shank,2
2020-10-01,WHB Lamb Shank,1
2020-10-05,WHB Lamb Shank,1
