Date,Product Name,Quantity
2018-12-05,WHB Osso Bucco - 1kg (Frozen),2
2018-12-06,WHB Osso Bucco - 1kg (Frozen),1
2018-12-11,WHB Osso Bucco - 1kg (Frozen),1
2018-12-12,WHB Osso Bucco - 1kg (Frozen),3
2018-12-13,WHB Osso Bucco - 1kg (Frozen),1
2018-12-15,WHB Osso Bucco - 1kg (Frozen),1
2018-12-17,WHB Osso Bucco - 1kg (Frozen),3
2018-12-18,WHB Osso Bucco - 1kg (Frozen),2
2018-12-26,WHB Osso Bucco - 1kg (Frozen),1
2018-12-27,WHB Osso Bucco - 1kg (Frozen),1
2018-12-28,WHB Osso Bucco - 1kg (Frozen),1
2019-01-03,WHB Osso Bucco - 1kg (Frozen),1
2019-01-06,WHB Osso Bucco - 1kg (Frozen),1
2019-01-09,WHB Osso Bucco - 1kg (Frozen),3
2019-01-13,WHB Osso Bucco - 1kg (Frozen),2
2019-01-16,WHB Osso Bucco - 1kg (Frozen),2
2019-01-22,WHB Osso Bucco - 1kg (Frozen),2
2019-01-29,WHB Osso Bucco - 1kg (Frozen),1
2019-01-30,WHB Osso Bucco - 1kg (Frozen),1
2019-02-01,WHB Osso Bucco - 1kg (Frozen),1
2019-02-05,WHB Osso Bucco - 1kg (Frozen),8
2019-02-19,WHB Osso Bucco - 1kg (Frozen),1
2019-03-04,WHB Osso Bucco - 1kg (Frozen),2
2019-03-08,WHB Osso Bucco - 1kg (Frozen),3
2019-03-12,WHB Osso Bucco - 1kg (Frozen),1
2019-03-15,WHB Osso Bucco - 1kg (Frozen),2
2019-03-25,WHB Osso Bucco - 1kg (Frozen),1
2019-03-26,WHB Osso Bucco - 1kg (Frozen),1
2019-03-27,WHB Osso Bucco - 1kg (Frozen),1
2019-03-28,WHB Osso Bucco - 1kg (Frozen),1
2019-04-08,WHB Osso Bucco - 1kg (Frozen),1
2019-04-09,WHB Osso Bucco - 1kg (Frozen),2
2019-04-15,WHB Osso Bucco - 1kg (Frozen),1
2019-04-22,WHB Osso Bucco - 1kg (Frozen),1
2019-04-23,WHB Osso Bucco - 1kg (Frozen),1
2019-04-24,WHB Osso Bucco - 1kg (Frozen),1
2019-04-27,WHB Osso Bucco - 1kg (Frozen),1
2019-04-29,WHB Osso Bucco - 1kg (Frozen),1
2019-05-03,WHB Osso Bucco - 1kg (Frozen),1
2019-05-07,WHB Osso Bucco - 1kg (Frozen),1
2019-05-08,WHB Osso Bucco - 1kg (Frozen),1
2019-05-09,WHB Osso Bucco - 1kg (Frozen),1
2019-05-10,WHB Osso Bucco - 1kg (Frozen),1
2019-05-11,WHB Osso Bucco - 1kg (Frozen),1
2019-05-14,WHB Osso Bucco - 1kg (Frozen),2
2019-05-18,WHB Osso Bucco - 1kg (Frozen),2
2019-05-24,WHB Osso Bucco - 1kg (Frozen),1
2019-05-27,WHB Osso Bucco - 1kg (Frozen),1
2019-06-03,WHB Osso Bucco - 1kg (Frozen),2
2019-06-05,WHB Osso Bucco - 1kg (Frozen),3
2019-06-16,WHB Osso Bucco - 1kg (Frozen),1
2019-06-17,WHB Osso Bucco - 1kg (Frozen),5
2019-06-26,WHB Osso Bucco - 1kg (Frozen),1
2019-07-04,WHB Osso Bucco - 1kg (Frozen),1
2019-07-08,WHB Osso Bucco - 1kg (Frozen),2
2019-07-09,WHB Osso Bucco - 1kg (Frozen),1
2019-07-10,WHB Osso Bucco - 1kg (Frozen),1
2019-07-15,WHB Osso Bucco - 1kg (Frozen),1
2019-07-26,WHB Osso Bucco - 1kg (Frozen),2
2019-07-29,WHB Osso Bucco - 1kg (Frozen),3
2019-08-06,WHB Osso Bucco - 1kg (Frozen),1
2019-08-08,WHB Osso Bucco - 1kg (Frozen),1
2019-08-12,WHB Osso Bucco - 1kg (Frozen),2
2019-08-14,WHB Osso Bucco - 1kg (Frozen),1
2019-08-20,WHB Osso Bucco - 1kg (Frozen),1
2019-08-21,WHB Osso Bucco - 1kg (Frozen),1
2019-08-26,WHB Osso Bucco - 1kg (Frozen),1
2019-08-29,WHB Osso Bucco - 1kg (Frozen),1
2019-09-02,WHB Osso Bucco - 1kg (Frozen),1
2019-09-03,WHB Osso Bucco - 1kg (Frozen),2
2019-09-06,WHB Osso Bucco - 1kg (Frozen),1
2019-09-07,WHB Osso Bucco - 1kg (Frozen),1
2019-09-08,WHB Osso Bucco - 1kg (Frozen),1
2019-09-10,WHB Osso Bucco - 1kg (Frozen),2
2019-09-15,WHB Osso Bucco - 1kg (Frozen),1
2019-09-16,WHB Osso Bucco - 1kg (Frozen),1
2019-09-18,WHB Osso Bucco - 1kg (Frozen),1
2019-09-25,WHB Osso Bucco - 1kg (Frozen),2
2019-09-27,WHB Osso Bucco - 1kg (Frozen),1
2019-09-29,WHB Osso Bucco - 1kg (Frozen),1
2019-10-03,WHB Osso Bucco - 1kg (Frozen),1
2019-10-05,WHB Osso Bucco - 1kg (Frozen),1
2019-10-16,WHB Osso Bucco - 1kg (Frozen),1
2019-10-18,WHB Osso Bucco - 1kg (Frozen),1
2019-10-21,WHB Osso Bucco - 1kg (Frozen),2
2019-10-23,WHB Osso Bucco - 1kg (Frozen),1
2019-10-28,WHB Osso Bucco - 1kg (Frozen),1
2019-10-30,WHB Osso Bucco - 1kg (Frozen),1
2019-11-11,WHB Osso Bucco - 1kg (Frozen),1
2019-11-12,WHB Osso Bucco - 1kg (Frozen),1
2019-11-18,WHB Osso Bucco - 1kg (Frozen),2
2019-11-22,WHB Osso Bucco - 1kg (Frozen),2
2019-11-25,WHB Osso Bucco - 1kg (Frozen),2
2019-12-02,WHB Osso Bucco - 1kg (Frozen),5
2019-12-03,WHB Osso Bucco - 1kg (Frozen),1
2019-12-05,WHB Osso Bucco - 1kg (Frozen),1
2019-12-06,WHB Osso Bucco - 1kg (Frozen),1
2019-12-10,WHB Osso Bucco - 1kg (Frozen),2
2019-12-15,WHB Osso Bucco - 1kg (Frozen),4
2019-12-17,WHB Osso Bucco - 1kg (Frozen),3
