Date,Product Name,Quantity
2023-08-23,Zubi Bakes Waffles - 250g,2
2023-09-21,Zubi Bakes Waffles - 250g (Frozen),1
2023-09-22,Zubi Bakes Waffles - 250g (Frozen),1
2023-09-25,Zubi Bakes Waffles - 250g (Frozen),1
2023-09-27,Zubi Bakes Waffles - 250g (Frozen),1
2023-09-28,Zubi Bakes Waffles - 250g (Frozen),4
2023-10-07,Zubi Bakes Waffles - 250g (Frozen),1
2023-10-09,Zubi Bakes Waffles - 250g (Frozen),3
2023-10-11,Zubi Bakes Waffles - 250g (Frozen),10
2023-10-13,Zubi Bakes Waffles - 250g (Frozen),6
2023-10-15,Zubi Bakes Waffles - 250g (Frozen),2
2023-10-16,Zubi Bakes Waffles - 250g (Frozen),1
2023-10-17,Zubi Bakes Waffles - 250g (Frozen),2
2023-10-19,Zubi Bakes Waffles - 250g (Frozen),1
2023-10-20,Zubi Bakes Waffles - 250g (Frozen),4
2023-10-21,Zubi Bakes Waffles - 250g (Frozen),3
2023-10-23,Zubi Bakes Waffles - 250g (Frozen),5
2023-10-26,Zubi Bakes Waffles - 250g (Frozen),1
2023-10-27,Zubi Bakes Waffles - 250g (Frozen),1
2023-10-28,Zubi Bakes Waffles - 250g (Frozen),5
2023-10-29,Zubi Bakes Waffles - 250g (Frozen),3
2023-10-30,Zubi Bakes Waffles - 250g (Frozen),2
2023-10-31,Zubi Bakes Waffles - 250g (Frozen),3
2023-11-02,Zubi Bakes Waffles - 250g (Frozen),1
2023-11-03,Zubi Bakes Waffles - 250g (Frozen),4
2023-11-04,Zubi Bakes Waffles - 250g (Frozen),4
2023-11-05,Zubi Bakes Waffles - 250g (Frozen),1
2023-11-06,Zubi Bakes Waffles - 250g (Frozen),1
2023-11-07,Zubi Bakes Waffles - 250g (Frozen),1
2023-11-08,Zubi Bakes Waffles - 250g (Frozen),1
2023-11-09,Zubi Bakes Waffles - 250g (Frozen),1
2023-11-12,Zubi Bakes Waffles - 250g (Frozen),2
2023-11-13,Zubi Bakes Waffles - 250g (Frozen),4
2023-11-14,Zubi Bakes Waffles - 250g (Frozen),1
2023-11-15,Zubi Bakes Waffles - 250g (Frozen),4
2023-11-16,Zubi Bakes Waffles - 250g (Frozen),2
2023-11-18,Zubi Bakes Waffles - 250g (Frozen),2
2023-11-20,Zubi Bakes Waffles - 250g (Frozen),3
2023-11-23,Zubi Bakes Waffles - 250g (Frozen),5
2023-11-24,Zubi Bakes Waffles - 250g (Frozen),1
2023-11-25,Zubi Bakes Waffles - 250g (Frozen),2
2023-11-30,Zubi Bakes Waffles - 250g (Frozen),1
2023-12-01,Zubi Bakes Waffles - 250g (Frozen),2
2023-12-02,Zubi Bakes Waffles - 250g (Frozen),3
2023-12-03,Zubi Bakes Waffles - 250g (Frozen),2
2023-12-04,Zubi Bakes Waffles - 250g (Frozen),2
2023-12-06,Zubi Bakes Waffles - 250g (Frozen),3
2023-12-07,Zubi Bakes Waffles - 250g (Frozen),1
2023-12-09,Zubi Bakes Waffles - 250g (Frozen),1
2023-12-10,Zubi Bakes Waffles - 250g (Frozen),1
2023-12-11,Zubi Bakes Waffles - 250g (Frozen),2
2023-12-13,Zubi Bakes Waffles - 250g (Frozen),5
2023-12-18,Zubi Bakes Waffles - 250g (Frozen),3
2023-12-19,Zubi Bakes Waffles - 250g (Frozen),3
2023-12-20,Zubi Bakes Waffles - 250g (Frozen),2
2023-12-21,Zubi Bakes Waffles - 250g (Frozen),2
2023-12-23,Zubi Bakes Waffles - 250g (Frozen),5
2023-12-24,Zubi Bakes Waffles - 250g (Frozen),4
2023-12-26,Zubi Bakes Waffles - 250g (Frozen),1
2024-01-06,Zubi Bakes Waffles - 250g (Frozen),1
2024-01-08,Zubi Bakes Waffles - 250g (Frozen),5
2024-01-09,Zubi Bakes Waffles - 250g (Frozen),1
2024-01-10,Zubi Bakes Waffles - 250g (Frozen),2
2024-01-11,Zubi Bakes Waffles - 250g (Frozen),2
2024-01-13,Zubi Bakes Waffles - 250g (Frozen),1
2024-01-15,Zubi Bakes Waffles - 250g (Frozen),1
2024-01-16,Zubi Bakes Waffles - 250g (Frozen),7
2024-01-18,Zubi Bakes Waffles - 250g (Frozen),3
2024-01-21,Zubi Bakes Waffles - 250g (Frozen),3
2024-01-22,Zubi Bakes Waffles - 250g (Frozen),2
2024-01-23,Zubi Bakes Waffles - 250g (Frozen),2
2024-01-24,Zubi Bakes Waffles - 250g (Frozen),4
2024-01-25,Zubi Bakes Waffles - 250g (Frozen),1
2024-01-26,Zubi Bakes Waffles - 250g (Frozen),1
2024-01-29,Zubi Bakes Waffles - 250g (Frozen),9
2024-01-30,Zubi Bakes Waffles - 250g (Frozen),5
2024-02-01,Zubi Bakes Waffles - 250g (Frozen),1
2024-02-02,Zubi Bakes Waffles - 250g (Frozen),4
2024-02-03,Zubi Bakes Waffles - 250g (Frozen),1
2024-02-04,Zubi Bakes Waffles - 250g (Frozen),4
2024-02-05,Zubi Bakes Waffles - 250g (Frozen),1
2024-02-06,Zubi Bakes Waffles - 250g (Frozen),1
2024-02-07,Zubi Bakes Waffles - 250g (Frozen),6
2024-02-08,Zubi Bakes Waffles - 250g (Frozen),3
2024-02-09,Zubi Bakes Waffles - 250g (Frozen),3
2024-02-10,Zubi Bakes Waffles - 250g (Frozen),6
2024-02-11,Zubi Bakes Waffles - 250g (Frozen),1
2024-02-13,Zubi Bakes Waffles - 250g (Frozen),1
2024-02-14,Zubi Bakes Waffles - 250g (Frozen),1
2024-02-15,Zubi Bakes Waffles - 250g (Frozen),2
2024-02-16,Zubi Bakes Waffles - 250g (Frozen),4
2024-02-19,Zubi Bakes Waffles - 250g (Frozen),6
2024-02-22,Zubi Bakes Waffles - 250g (Frozen),1
2024-02-23,Zubi Bakes Waffles - 250g (Frozen),4
2024-02-25,Zubi Bakes Waffles - 250g (Frozen),1
2024-02-26,Zubi Bakes Waffles - 250g (Frozen),1
2024-02-27,Zubi Bakes Waffles - 250g (Frozen),7
2024-02-28,Zubi Bakes Waffles - 250g (Frozen),1
2024-03-01,Zubi Bakes Waffles - 250g (Frozen),5
2024-03-03,Zubi Bakes Waffles - 250g (Frozen),1
2024-03-04,Zubi Bakes Waffles - 250g (Frozen),3
2024-03-05,Zubi Bakes Waffles - 250g (Frozen),1
2024-03-07,Zubi Bakes Waffles - 250g (Frozen),1
2024-03-08,Zubi Bakes Waffles - 250g (Frozen),4
2024-03-09,Zubi Bakes Waffles - 250g (Frozen),6
2024-03-10,Zubi Bakes Waffles - 250g (Frozen),2
2024-03-12,Zubi Bakes Waffles - 250g (Frozen),3
2024-03-13,Zubi Bakes Waffles - 250g (Frozen),3
2024-03-14,Zubi Bakes Waffles - 250g (Frozen),1
2024-03-15,Zubi Bakes Waffles - 250g (Frozen),1
2024-03-16,Zubi Bakes Waffles - 250g (Frozen),3
2024-03-18,Zubi Bakes Waffles - 250g (Frozen),3
2024-03-19,Zubi Bakes Waffles - 250g (Frozen),4
2024-03-20,Zubi Bakes Waffles - 250g (Frozen),2
2024-03-21,Zubi Bakes Waffles - 250g (Frozen),2
2024-03-22,Zubi Bakes Waffles - 250g (Frozen),3
2024-03-23,Zubi Bakes Waffles - 250g (Frozen),1
2024-03-24,Zubi Bakes Waffles - 250g (Frozen),1
2024-03-25,Zubi Bakes Waffles - 250g (Frozen),1
2024-03-26,Zubi Bakes Waffles - 250g (Frozen),2
2024-03-28,Zubi Bakes Waffles - 250g (Frozen),1
2024-03-30,Zubi Bakes Waffles - 250g (Frozen),4
2024-03-31,Zubi Bakes Waffles - 250g (Frozen),2
2024-04-03,Zubi Bakes Waffles - 250g (Frozen),5
2024-04-04,Zubi Bakes Waffles - 250g (Frozen),4
2024-04-05,Zubi Bakes Waffles - 250g (Frozen),4
2024-04-10,Zubi Bakes Waffles - 250g (Frozen),7
2024-04-11,Zubi Bakes Waffles - 250g (Frozen),1
2024-04-12,Zubi Bakes Waffles - 250g (Frozen),1
2024-04-13,Zubi Bakes Waffles - 250g (Frozen),2
2024-04-15,Zubi Bakes Waffles - 250g (Frozen),6
2024-04-16,Zubi Bakes Waffles - 250g (Frozen),4
2024-04-17,Zubi Bakes Waffles - 250g (Frozen),2
2024-04-18,Zubi Bakes Waffles - 250g (Frozen),1
2024-04-19,Zubi Bakes Waffles - 250g (Frozen),1
2024-04-20,Zubi Bakes Waffles - 250g (Frozen),4
2024-04-22,Zubi Bakes Waffles - 250g (Frozen),3
2024-04-23,Zubi Bakes Waffles - 250g (Frozen),1
2024-04-25,Zubi Bakes Waffles - 250g (Frozen),1
2024-04-27,Zubi Bakes Waffles - 250g (Frozen),3
2024-04-28,Zubi Bakes Waffles - 250g (Frozen),1
2024-04-29,Zubi Bakes Waffles - 250g (Frozen),2
2024-04-30,Zubi Bakes Waffles - 250g (Frozen),3
2024-05-01,Zubi Bakes Waffles - 250g (Frozen),3
2024-05-02,Zubi Bakes Waffles - 250g (Frozen),1
2024-05-03,Zubi Bakes Waffles - 250g (Frozen),1
2024-05-05,Zubi Bakes Waffles - 250g (Frozen),3
2024-05-06,Zubi Bakes Waffles - 250g (Frozen),6
2024-05-07,Zubi Bakes Waffles - 250g (Frozen),1
2024-05-08,Zubi Bakes Waffles - 250g (Frozen),2
2024-05-10,Zubi Bakes Waffles - 250g (Frozen),1
2024-05-13,Zubi Bakes Waffles - 250g (Frozen),6
2024-05-14,Zubi Bakes Waffles - 250g (Frozen),2
2024-05-15,Zubi Bakes Waffles - 250g (Frozen),2
2024-05-18,Zubi Bakes Waffles - 250g (Frozen),4
2024-05-19,Zubi Bakes Waffles - 250g (Frozen),4
2024-05-21,Zubi Bakes Waffles - 250g (Frozen),1
2024-05-22,Zubi Bakes Waffles - 250g (Frozen),3
2024-05-24,Zubi Bakes Waffles - 250g (Frozen),5
2024-05-25,Zubi Bakes Waffles - 250g (Frozen),5
2024-05-26,Zubi Bakes Waffles - 250g (Frozen),1
2024-05-27,Zubi Bakes Waffles - 250g (Frozen),3
2024-05-28,Zubi Bakes Waffles - 250g (Frozen),6
2024-05-30,Zubi Bakes Waffles - 250g (Frozen),3
2024-06-01,Zubi Bakes Waffles - 250g (Frozen),5
2024-06-02,Zubi Bakes Waffles - 250g (Frozen),1
2024-06-03,Zubi Bakes Waffles - 250g (Frozen),3
2024-06-04,Zubi Bakes Waffles - 250g (Frozen),6
2024-06-05,Zubi Bakes Waffles - 250g (Frozen),1
2024-06-06,Zubi Bakes Waffles - 250g (Frozen),3
2024-06-07,Zubi Bakes Waffles - 250g (Frozen),3
2024-06-10,Zubi Bakes Waffles - 250g (Frozen),3
2024-06-11,Zubi Bakes Waffles - 250g (Frozen),1
2024-06-12,Zubi Bakes Waffles - 250g (Frozen),3
2024-06-13,Zubi Bakes Waffles - 250g (Frozen),2
2024-06-14,Zubi Bakes Waffles - 250g (Frozen),3
2024-06-15,Zubi Bakes Waffles - 250g (Frozen),4
2024-06-17,Zubi Bakes Waffles - 250g (Frozen),1
2024-06-18,Zubi Bakes Waffles - 250g (Frozen),3
2024-06-20,Zubi Bakes Waffles - 250g (Frozen),5
2024-06-21,Zubi Bakes Waffles - 250g (Frozen),2
2024-06-22,Zubi Bakes Waffles - 250g (Frozen),1
2024-06-24,Zubi Bakes Waffles - 250g (Frozen),1
2024-06-25,Zubi Bakes Waffles - 250g (Frozen),1
2024-06-26,Zubi Bakes Waffles - 250g (Frozen),1
2024-07-01,Zubi Bakes Waffles - 250g (Frozen),3
2024-07-02,Zubi Bakes Waffles - 250g (Frozen),4
2024-07-06,Zubi Bakes Waffles - 250g (Frozen),2
2024-07-08,Zubi Bakes Waffles - 250g (Frozen),2
2024-07-10,Zubi Bakes Waffles - 250g (Frozen),1
2024-07-15,Zubi Bakes Waffles - 250g (Frozen),1
2024-07-17,Zubi Bakes Waffles - 250g (Frozen),1
2024-07-21,Zubi Bakes Waffles - 250g (Frozen),1
2024-07-23,Zubi Bakes Waffles - 250g (Frozen),1
2024-07-25,Zubi Bakes Waffles - 250g (Frozen),1
2024-07-26,Zubi Bakes Waffles - 250g (Frozen),1
2024-07-30,Zubi Bakes Waffles - 250g (Frozen),2
2024-07-31,Zubi Bakes Waffles - 250g (Frozen),3
2024-08-01,Zubi Bakes Waffles - 250g (Frozen),4
2024-08-02,Zubi Bakes Waffles - 250g (Frozen),2
2024-08-05,Zubi Bakes Waffles - 250g (Frozen),4
2024-08-08,Zubi Bakes Waffles - 250g (Frozen),1
